price_family_experiment_id,level_window,canonical_metric_key,feature_component,rows,non_null_rows,first_date,last_date
price_family_ma6_structural_linked,6,median_ppsf,level,60,50,2020-01-31,2022-06-30
price_family_ma6_structural_linked,6,median_ppsf,long,60,26,2020-01-31,2022-06-30
price_family_ma6_structural_linked,6,median_ppsf,short,60,44,2020-01-31,2022-06-30
price_family_ma6_structural_linked,6,median_sale_price,level,60,50,2020-01-31,2022-06-30
price_family_ma6_structural_linked,6,median_sale_price,long,60,26,2020-01-31,2022-06-30
price_family_ma6_structural_linked,6,median_sale_price,short,60,44,2020-01-31,2022-06-30
price_family_ma6_structural_linked,6,payment_burden,level,50,50,2020-06-30,2022-06-30
price_family_ma6_structural_linked,6,payment_burden,long,50,26,2020-06-30,2022-06-30
price_family_ma6_structural_linked,6,payment_burden,short,50,44,2020-06-30,2022-06-30
price_family_ma6_structural_linked,6,price_to_income,level,50,50,2020-06-30,2022-06-30
price_family_ma6_structural_linked,6,price_to_income,long,50,26,2020-06-30,2022-06-30
price_family_ma6_structural_linked,6,price_to_income,short,50,44,2020-06-30,2022-06-30
price_family_ma9_structural_linked,9,median_ppsf,level,60,44,2020-01-31,2022-06-30
price_family_ma9_structural_linked,9,median_ppsf,long,60,20,2020-01-31,2022-06-30
price_family_ma9_structural_linked,9,median_ppsf,short,60,38,2020-01-31,2022-06-30
price_family_ma9_structural_linked,9,median_sale_price,level,60,44,2020-01-31,2022-06-30
price_family_ma9_structural_linked,9,median_sale_price,long,60,20,2020-01-31,2022-06-30
price_family_ma9_structural_linked,9,median_sale_price,short,60,38,2020-01-31,2022-06-30
price_family_ma9_structural_linked,9,payment_burden,level,44,44,2020-09-30,2022-06-30
price_family_ma9_structural_linked,9,payment_burden,long,44,20,2020-09-30,2022-06-30
price_family_ma9_structural_linked,9,payment_burden,short,44,38,2020-09-30,2022-06-30
price_family_ma9_structural_linked,9,price_to_income,level,44,44,2020-09-30,2022-06-30
price_family_ma9_structural_linked,9,price_to_income,long,44,20,2020-09-30,2022-06-30
price_family_ma9_structural_linked,9,price_to_income,short,44,38,2020-09-30,2022-06-30
price_family_ma12_structural_linked,12,median_ppsf,level,60,38,2020-01-31,2022-06-30
price_family_ma12_structural_linked,12,median_ppsf,long,60,14,2020-01-31,2022-06-30
price_family_ma12_structural_linked,12,median_ppsf,short,60,32,2020-01-31,2022-06-30
price_family_ma12_structural_linked,12,median_sale_price,level,60,38,2020-01-31,2022-06-30
price_family_ma12_structural_linked,12,median_sale_price,long,60,14,2020-01-31,2022-06-30
price_family_ma12_structural_linked,12,median_sale_price,short,60,32,2020-01-31,2022-06-30
price_family_ma12_structural_linked,12,payment_burden,level,38,38,2020-12-31,2022-06-30
price_family_ma12_structural_linked,12,payment_burden,long,38,14,2020-12-31,2022-06-30
price_family_ma12_structural_linked,12,payment_burden,short,38,32,2020-12-31,2022-06-30
price_family_ma12_structural_linked,12,price_to_income,level,38,38,2020-12-31,2022-06-30
price_family_ma12_structural_linked,12,price_to_income,long,38,14,2020-12-31,2022-06-30
price_family_ma12_structural_linked,12,price_to_income,short,38,32,2020-12-31,2022-06-30
