metric,MA9,MA12,MA9_minus_MA12,MA9_percent_difference_vs_MA12
mean_absolute_axis_score,0.13554424762971068,0.1392259789232524,-0.0036817312935417124,-0.026444283760944126
axis_mean_absolute_change_1m,0.09016812221155923,0.08988721835454318,0.00028090385701605436,0.0031250700840255406
axis_p90_absolute_change_1m,0.1736478324185325,0.1724990263291638,0.0011488060893686813,0.00665978303655188
axis_sign_flip_rate,0.2109375,0.2265625,-0.015625,-0.06896551724137931
axis_near_zero_rate_010,0.4496124031007752,0.4418604651162791,0.007751937984496138,0.017543859649122837
axis_strong_conviction_rate_025,0.13953488372093023,0.15891472868217055,-0.019379844961240317,-0.12195121951219516
mean_price_affordability_gross,0.08437075911040368,0.09435160401869463,-0.009980844908290959,-0.1057835212458431
mean_absolute_price_affordability_net,0.04544414384548774,0.05196241825002794,-0.0065182744045401975,-0.12544209111239146
mean_cancellation_amount,0.038926615264915934,0.04238918576866668,-0.0034625705037507476,-0.08168523270645639
mean_cancellation_rate,0.38470864544814226,0.3830476056573327,0.0016610397908095598,0.004336379515958899
magnitude_weighted_cancellation_rate,0.4586778736392396,0.447268013270789,0.011409860368450597,0.025510119279517397
material_cancellation_month_rate,0.13178294573643412,0.1511627906976744,-0.01937984496124029,-0.12820512820512808
