series_id,geo_id,geo_level,metric_id,provider_measure_code,seasonal_adjustment,unit,scale_transform,classification,target_controlling
LASST060000000000003,california__state,state,laus_unemployment_rate_sa,003,SA,percent,none,LEGACY_ONLY,false
LASST060000000000004,california__state,state,laus_unemployment_sa,004,SA,persons,none,LEGACY_ONLY,false
LASST060000000000005,california__state,state,laus_employment_sa,005,SA,persons,none,LEGACY_ONLY,false
LASST060000000000006,california__state,state,laus_labor_force_sa,006,SA,persons,none,LEGACY_ONLY,false
LASST110000000000003,district_of_columbia__state,state,laus_unemployment_rate_sa,003,SA,percent,none,LEGACY_ONLY,false
LASST110000000000004,district_of_columbia__state,state,laus_unemployment_sa,004,SA,persons,none,LEGACY_ONLY,false
LASST110000000000005,district_of_columbia__state,state,laus_employment_sa,005,SA,persons,none,LEGACY_ONLY,false
LASST110000000000006,district_of_columbia__state,state,laus_labor_force_sa,006,SA,persons,none,LEGACY_ONLY,false
LASST240000000000003,maryland__state,state,laus_unemployment_rate_sa,003,SA,percent,none,LEGACY_ONLY,false
LASST240000000000004,maryland__state,state,laus_unemployment_sa,004,SA,persons,none,LEGACY_ONLY,false
LASST240000000000005,maryland__state,state,laus_employment_sa,005,SA,persons,none,LEGACY_ONLY,false
LASST240000000000006,maryland__state,state,laus_labor_force_sa,006,SA,persons,none,LEGACY_ONLY,false
LASST340000000000003,new_jersey__state,state,laus_unemployment_rate_sa,003,SA,percent,none,LEGACY_ONLY,false
LASST340000000000004,new_jersey__state,state,laus_unemployment_sa,004,SA,persons,none,LEGACY_ONLY,false
LASST340000000000005,new_jersey__state,state,laus_employment_sa,005,SA,persons,none,LEGACY_ONLY,false
LASST340000000000006,new_jersey__state,state,laus_labor_force_sa,006,SA,persons,none,LEGACY_ONLY,false
LASST510000000000003,virginia__state,state,laus_unemployment_rate_sa,003,SA,percent,none,LEGACY_ONLY,false
LASST510000000000004,virginia__state,state,laus_unemployment_sa,004,SA,persons,none,LEGACY_ONLY,false
LASST510000000000005,virginia__state,state,laus_employment_sa,005,SA,persons,none,LEGACY_ONLY,false
LASST510000000000006,virginia__state,state,laus_labor_force_sa,006,SA,persons,none,LEGACY_ONLY,false
LAUCN060010000000003,alameda_county_ca__county,county,laus_unemployment_rate_nsa,003,NSA,percent,none,GOVERNED_REQUIRED,true
LAUCN060010000000004,alameda_county_ca__county,county,laus_unemployment_nsa,004,NSA,persons,none,GOVERNED_DIAGNOSTIC,false
LAUCN060010000000005,alameda_county_ca__county,county,laus_employment_nsa,005,NSA,persons,none,GOVERNED_REQUIRED,true
LAUCN060010000000006,alameda_county_ca__county,county,laus_labor_force_nsa,006,NSA,persons,none,GOVERNED_REQUIRED,true
LAUCN060070000000003,butte_county_ca__county,county,laus_unemployment_rate_nsa,003,NSA,percent,none,GOVERNED_REQUIRED,true
LAUCN060070000000004,butte_county_ca__county,county,laus_unemployment_nsa,004,NSA,persons,none,GOVERNED_DIAGNOSTIC,false
LAUCN060070000000005,butte_county_ca__county,county,laus_employment_nsa,005,NSA,persons,none,GOVERNED_REQUIRED,true
LAUCN060070000000006,butte_county_ca__county,county,laus_labor_force_nsa,006,NSA,persons,none,GOVERNED_REQUIRED,true
LAUCN060130000000003,contra_costa_county_ca__county,county,laus_unemployment_rate_nsa,003,NSA,percent,none,GOVERNED_REQUIRED,true
LAUCN060130000000004,contra_costa_county_ca__county,county,laus_unemployment_nsa,004,NSA,persons,none,GOVERNED_DIAGNOSTIC,false
LAUCN060130000000005,contra_costa_county_ca__county,county,laus_employment_nsa,005,NSA,persons,none,GOVERNED_REQUIRED,true
LAUCN060130000000006,contra_costa_county_ca__county,county,laus_labor_force_nsa,006,NSA,persons,none,GOVERNED_REQUIRED,true
LAUCN060150000000003,del_norte_county_ca__county,county,laus_unemployment_rate_nsa,003,NSA,percent,none,GOVERNED_REQUIRED,true
LAUCN060150000000004,del_norte_county_ca__county,county,laus_unemployment_nsa,004,NSA,persons,none,GOVERNED_DIAGNOSTIC,false
LAUCN060150000000005,del_norte_county_ca__county,county,laus_employment_nsa,005,NSA,persons,none,GOVERNED_REQUIRED,true
LAUCN060150000000006,del_norte_county_ca__county,county,laus_labor_force_nsa,006,NSA,persons,none,GOVERNED_REQUIRED,true
LAUCN060170000000003,el_dorado_county_ca__county,county,laus_unemployment_rate_nsa,003,NSA,percent,none,GOVERNED_REQUIRED,true
LAUCN060170000000004,el_dorado_county_ca__county,county,laus_unemployment_nsa,004,NSA,persons,none,GOVERNED_DIAGNOSTIC,false
LAUCN060170000000005,el_dorado_county_ca__county,county,laus_employment_nsa,005,NSA,persons,none,GOVERNED_REQUIRED,true
LAUCN060170000000006,el_dorado_county_ca__county,county,laus_labor_force_nsa,006,NSA,persons,none,GOVERNED_REQUIRED,true
LAUCN060190000000003,fresno_county_ca__county,county,laus_unemployment_rate_nsa,003,NSA,percent,none,GOVERNED_REQUIRED,true
LAUCN060190000000004,fresno_county_ca__county,county,laus_unemployment_nsa,004,NSA,persons,none,GOVERNED_DIAGNOSTIC,false
LAUCN060190000000005,fresno_county_ca__county,county,laus_employment_nsa,005,NSA,persons,none,GOVERNED_REQUIRED,true
LAUCN060190000000006,fresno_county_ca__county,county,laus_labor_force_nsa,006,NSA,persons,none,GOVERNED_REQUIRED,true
LAUCN060230000000003,humboldt_county_ca__county,county,laus_unemployment_rate_nsa,003,NSA,percent,none,GOVERNED_REQUIRED,true
LAUCN060230000000004,humboldt_county_ca__county,county,laus_unemployment_nsa,004,NSA,persons,none,GOVERNED_DIAGNOSTIC,false
LAUCN060230000000005,humboldt_county_ca__county,county,laus_employment_nsa,005,NSA,persons,none,GOVERNED_REQUIRED,true
LAUCN060230000000006,humboldt_county_ca__county,county,laus_labor_force_nsa,006,NSA,persons,none,GOVERNED_REQUIRED,true
LAUCN060250000000003,imperial_county_ca__county,county,laus_unemployment_rate_nsa,003,NSA,percent,none,GOVERNED_REQUIRED,true
LAUCN060250000000004,imperial_county_ca__county,county,laus_unemployment_nsa,004,NSA,persons,none,GOVERNED_DIAGNOSTIC,false
LAUCN060250000000005,imperial_county_ca__county,county,laus_employment_nsa,005,NSA,persons,none,GOVERNED_REQUIRED,true
LAUCN060250000000006,imperial_county_ca__county,county,laus_labor_force_nsa,006,NSA,persons,none,GOVERNED_REQUIRED,true
LAUCN060290000000003,kern_county_ca__county,county,laus_unemployment_rate_nsa,003,NSA,percent,none,GOVERNED_REQUIRED,true
LAUCN060290000000004,kern_county_ca__county,county,laus_unemployment_nsa,004,NSA,persons,none,GOVERNED_DIAGNOSTIC,false
LAUCN060290000000005,kern_county_ca__county,county,laus_employment_nsa,005,NSA,persons,none,GOVERNED_REQUIRED,true
LAUCN060290000000006,kern_county_ca__county,county,laus_labor_force_nsa,006,NSA,persons,none,GOVERNED_REQUIRED,true
LAUCN060310000000003,kings_county_ca__county,county,laus_unemployment_rate_nsa,003,NSA,percent,none,GOVERNED_REQUIRED,true
LAUCN060310000000004,kings_county_ca__county,county,laus_unemployment_nsa,004,NSA,persons,none,GOVERNED_DIAGNOSTIC,false
LAUCN060310000000005,kings_county_ca__county,county,laus_employment_nsa,005,NSA,persons,none,GOVERNED_REQUIRED,true
LAUCN060310000000006,kings_county_ca__county,county,laus_labor_force_nsa,006,NSA,persons,none,GOVERNED_REQUIRED,true
LAUCN060330000000003,lake_county_ca__county,county,laus_unemployment_rate_nsa,003,NSA,percent,none,GOVERNED_REQUIRED,true
LAUCN060330000000004,lake_county_ca__county,county,laus_unemployment_nsa,004,NSA,persons,none,GOVERNED_DIAGNOSTIC,false
LAUCN060330000000005,lake_county_ca__county,county,laus_employment_nsa,005,NSA,persons,none,GOVERNED_REQUIRED,true
LAUCN060330000000006,lake_county_ca__county,county,laus_labor_force_nsa,006,NSA,persons,none,GOVERNED_REQUIRED,true
LAUCN060350000000003,lassen_county_ca__county,county,laus_unemployment_rate_nsa,003,NSA,percent,none,GOVERNED_REQUIRED,true
LAUCN060350000000004,lassen_county_ca__county,county,laus_unemployment_nsa,004,NSA,persons,none,GOVERNED_DIAGNOSTIC,false
LAUCN060350000000005,lassen_county_ca__county,county,laus_employment_nsa,005,NSA,persons,none,GOVERNED_REQUIRED,true
LAUCN060350000000006,lassen_county_ca__county,county,laus_labor_force_nsa,006,NSA,persons,none,GOVERNED_REQUIRED,true
LAUCN060370000000003,los_angeles_county_ca__county,county,laus_unemployment_rate_nsa,003,NSA,percent,none,GOVERNED_REQUIRED,true
LAUCN060370000000004,los_angeles_county_ca__county,county,laus_unemployment_nsa,004,NSA,persons,none,GOVERNED_DIAGNOSTIC,false
LAUCN060370000000005,los_angeles_county_ca__county,county,laus_employment_nsa,005,NSA,persons,none,GOVERNED_REQUIRED,true
LAUCN060370000000006,los_angeles_county_ca__county,county,laus_labor_force_nsa,006,NSA,persons,none,GOVERNED_REQUIRED,true
LAUCN060390000000003,madera_county_ca__county,county,laus_unemployment_rate_nsa,003,NSA,percent,none,GOVERNED_REQUIRED,true
LAUCN060390000000004,madera_county_ca__county,county,laus_unemployment_nsa,004,NSA,persons,none,GOVERNED_DIAGNOSTIC,false
LAUCN060390000000005,madera_county_ca__county,county,laus_employment_nsa,005,NSA,persons,none,GOVERNED_REQUIRED,true
LAUCN060390000000006,madera_county_ca__county,county,laus_labor_force_nsa,006,NSA,persons,none,GOVERNED_REQUIRED,true
LAUCN060410000000003,marin_county_ca__county,county,laus_unemployment_rate_nsa,003,NSA,percent,none,GOVERNED_REQUIRED,true
LAUCN060410000000004,marin_county_ca__county,county,laus_unemployment_nsa,004,NSA,persons,none,GOVERNED_DIAGNOSTIC,false
LAUCN060410000000005,marin_county_ca__county,county,laus_employment_nsa,005,NSA,persons,none,GOVERNED_REQUIRED,true
LAUCN060410000000006,marin_county_ca__county,county,laus_labor_force_nsa,006,NSA,persons,none,GOVERNED_REQUIRED,true
LAUCN060450000000003,mendocino_county_ca__county,county,laus_unemployment_rate_nsa,003,NSA,percent,none,GOVERNED_REQUIRED,true
LAUCN060450000000004,mendocino_county_ca__county,county,laus_unemployment_nsa,004,NSA,persons,none,GOVERNED_DIAGNOSTIC,false
LAUCN060450000000005,mendocino_county_ca__county,county,laus_employment_nsa,005,NSA,persons,none,GOVERNED_REQUIRED,true
