geo_id,provider_geo_fips,geo_level,availability
alameda_county_ca__county,06001,county,AVAILABLE_DIRECT
albemarle_county_va__county,51003,county,PROVIDER_UNAVAILABLE
alexandria_va__county,51510,county,AVAILABLE_DIRECT
allegany_county_md__county,24001,county,AVAILABLE_DIRECT
amelia_county_va__county,51007,county,AVAILABLE_DIRECT
amherst_county_va__county,51009,county,AVAILABLE_DIRECT
anne_arundel_county_md__county,24003,county,AVAILABLE_DIRECT
appomattox_county_va__county,51011,county,AVAILABLE_DIRECT
arlington_county_va__county,51013,county,AVAILABLE_DIRECT
atlantic_county_nj__county,34001,county,AVAILABLE_DIRECT
augusta_county_va__county,51015,county,PROVIDER_UNAVAILABLE
baltimore_city_county_md__county,24510,county,AVAILABLE_DIRECT
baltimore_county_md__county,24005,county,AVAILABLE_DIRECT
bedford_county_va__county,51019,county,AVAILABLE_DIRECT
botetourt_county_va__county,51023,county,AVAILABLE_DIRECT
burlington_county_nj__county,34005,county,AVAILABLE_DIRECT
butte_county_ca__county,06007,county,AVAILABLE_DIRECT
california__state,06000,state,AVAILABLE_DIRECT
calvert_county_md__county,24009,county,AVAILABLE_DIRECT
camden_county_nj__county,34007,county,AVAILABLE_DIRECT
campbell_county_va__county,51031,county,PROVIDER_UNAVAILABLE
cape_may_county_nj__county,34009,county,AVAILABLE_DIRECT
carroll_county_md__county,24013,county,AVAILABLE_DIRECT
charles_city_county_va__county,51036,county,AVAILABLE_DIRECT
charles_county_md__county,24017,county,AVAILABLE_DIRECT
charlottesville_va__county,51540,county,PROVIDER_UNAVAILABLE
chesapeake_va__county,51550,county,AVAILABLE_DIRECT
chesterfield_county_va__county,51041,county,AVAILABLE_DIRECT
clarke_county_va__county,51043,county,AVAILABLE_DIRECT
colonial_heights_va__county,51570,county,PROVIDER_UNAVAILABLE
contra_costa_county_ca__county,06013,county,AVAILABLE_DIRECT
craig_county_va__county,51045,county,AVAILABLE_DIRECT
culpeper_county_va__county,51047,county,AVAILABLE_DIRECT
cumberland_county_nj__county,34011,county,AVAILABLE_DIRECT
danville_va__county,51590,county,PROVIDER_UNAVAILABLE
del_norte_county_ca__county,06015,county,AVAILABLE_DIRECT
dinwiddie_county_va__county,51053,county,PROVIDER_UNAVAILABLE
district_of_columbia__state,11000,state,AVAILABLE_DIRECT
district_of_columbia_dc__county,11001,county,AVAILABLE_DIRECT
dorchester_county_md__county,24019,county,AVAILABLE_DIRECT
el_dorado_county_ca__county,06017,county,AVAILABLE_DIRECT
essex_county_nj__county,34013,county,AVAILABLE_DIRECT
fairfax_city_county_va__county,51600,county,PROVIDER_UNAVAILABLE
fairfax_county_va__county,51059,county,PROVIDER_UNAVAILABLE
falls_church_va__county,51610,county,PROVIDER_UNAVAILABLE
fauquier_county_va__county,51061,county,AVAILABLE_DIRECT
fluvanna_county_va__county,51065,county,AVAILABLE_DIRECT
franklin_city_county_va__county,51620,county,PROVIDER_UNAVAILABLE
franklin_county_va__county,51067,county,AVAILABLE_DIRECT
frederick_county_md__county,24021,county,AVAILABLE_DIRECT
frederick_county_va__county,51069,county,PROVIDER_UNAVAILABLE
fredericksburg_va__county,51630,county,PROVIDER_UNAVAILABLE
fresno_county_ca__county,06019,county,AVAILABLE_DIRECT
giles_county_va__county,51071,county,AVAILABLE_DIRECT
gloucester_county_nj__county,34015,county,AVAILABLE_DIRECT
gloucester_county_va__county,51073,county,AVAILABLE_DIRECT
goochland_county_va__county,51075,county,AVAILABLE_DIRECT
greene_county_va__county,51079,county,AVAILABLE_DIRECT
hampton_va__county,51650,county,AVAILABLE_DIRECT
hanover_county_va__county,51085,county,AVAILABLE_DIRECT
harford_county_md__county,24025,county,AVAILABLE_DIRECT
harrisonburg_va__county,51660,county,PROVIDER_UNAVAILABLE
henrico_county_va__county,51087,county,AVAILABLE_DIRECT
henry_county_va__county,51089,county,PROVIDER_UNAVAILABLE
hopewell_va__county,51670,county,PROVIDER_UNAVAILABLE
howard_county_md__county,24027,county,AVAILABLE_DIRECT
humboldt_county_ca__county,06023,county,AVAILABLE_DIRECT
hunterdon_county_nj__county,34019,county,AVAILABLE_DIRECT
imperial_county_ca__county,06025,county,AVAILABLE_DIRECT
isle_of_wight_county_va__county,51093,county,AVAILABLE_DIRECT
james_city_county_va__county,51095,county,PROVIDER_UNAVAILABLE
kern_county_ca__county,06029,county,AVAILABLE_DIRECT
king_and_queen_county_va__county,51097,county,AVAILABLE_DIRECT
king_william_county_va__county,51101,county,AVAILABLE_DIRECT
kings_county_ca__county,06031,county,AVAILABLE_DIRECT
lake_county_ca__county,06033,county,AVAILABLE_DIRECT
lassen_county_ca__county,06035,county,AVAILABLE_DIRECT
los_angeles_county_ca__county,06037,county,AVAILABLE_DIRECT
loudoun_county_va__county,51107,county,AVAILABLE_DIRECT
lynchburg_va__county,51680,county,PROVIDER_UNAVAILABLE
madera_county_ca__county,06039,county,AVAILABLE_DIRECT
madison_county_va__county,51113,county,AVAILABLE_DIRECT
manassas_park_va__county,51685,county,PROVIDER_UNAVAILABLE
manassas_va__county,51683,county,PROVIDER_UNAVAILABLE
marin_county_ca__county,06041,county,AVAILABLE_DIRECT
martinsville_va__county,51690,county,PROVIDER_UNAVAILABLE
maryland__state,24000,state,AVAILABLE_DIRECT
mathews_county_va__county,51115,county,AVAILABLE_DIRECT
mendocino_county_ca__county,06045,county,AVAILABLE_DIRECT
merced_county_ca__county,06047,county,AVAILABLE_DIRECT
mercer_county_nj__county,34021,county,AVAILABLE_DIRECT
middlesex_county_nj__county,34023,county,AVAILABLE_DIRECT
monmouth_county_nj__county,34025,county,AVAILABLE_DIRECT
monterey_county_ca__county,06053,county,AVAILABLE_DIRECT
montgomery_county_md__county,24031,county,AVAILABLE_DIRECT
montgomery_county_va__county,51121,county,PROVIDER_UNAVAILABLE
morris_county_nj__county,34027,county,AVAILABLE_DIRECT
napa_county_ca__county,06055,county,AVAILABLE_DIRECT
nelson_county_va__county,51125,county,AVAILABLE_DIRECT
nevada_county_ca__county,06057,county,AVAILABLE_DIRECT
new_jersey__state,34000,state,AVAILABLE_DIRECT
new_kent_county_va__county,51127,county,AVAILABLE_DIRECT
newport_news_va__county,51700,county,AVAILABLE_DIRECT
norfolk_va__county,51710,county,AVAILABLE_DIRECT
