canonical_geo_id,census_code,canonical_name,canonical_concept,bps_compatibility,reason
anaheim_ca_metro_area__cbsa_metro,11244,"Anaheim, CA metro area",metropolitan_division,unsupported,BPS CBSA product does not publish Metropolitan Division identities; absence is retained without derivation
atlantic_city_nj_metro_area__cbsa_metro,12100,"Atlantic City, NJ metro area",metropolitan_statistical_area,compatible,Exact five-digit code is present in at least one exact-pinned BPS CBSA parent
bakersfield_ca_metro_area__cbsa_metro,12540,"Bakersfield, CA metro area",metropolitan_statistical_area,compatible,Exact five-digit code is present in at least one exact-pinned BPS CBSA parent
baltimore_md_metro_area__cbsa_metro,12580,"Baltimore, MD metro area",metropolitan_statistical_area,compatible,Exact five-digit code is present in at least one exact-pinned BPS CBSA parent
big_stone_gap_va_metro_area__cbsa_metro,13720,"Big Stone Gap, VA metro area",micropolitan_statistical_area,unsupported,Historical/non-current Micropolitan Statistical Area identity absent from both exact-pinned BPS parents; no current provider identity may be synthesized
blacksburg_va_metro_area__cbsa_metro,13980,"Blacksburg, VA metro area",metropolitan_statistical_area,compatible,Exact five-digit code is present in at least one exact-pinned BPS CBSA parent
california_md_metro_area__cbsa_metro,15680,"California, MD metro area",metropolitan_statistical_area,compatible,Exact five-digit code is present in at least one exact-pinned BPS CBSA parent
cambridge_md_metro_area__cbsa_metro,15700,"Cambridge, MD metro area",micropolitan_statistical_area,compatible,Exact five-digit code is present in at least one exact-pinned BPS CBSA parent
camden_nj_metro_area__cbsa_metro,15804,"Camden, NJ metro area",metropolitan_division,unsupported,BPS CBSA product does not publish Metropolitan Division identities; absence is retained without derivation
charlottesville_va_metro_area__cbsa_metro,16820,"Charlottesville, VA metro area",metropolitan_statistical_area,compatible,Exact five-digit code is present in at least one exact-pinned BPS CBSA parent
chico_ca_metro_area__cbsa_metro,17020,"Chico, CA metro area",metropolitan_statistical_area,compatible,Exact five-digit code is present in at least one exact-pinned BPS CBSA parent
clearlake_ca_metro_area__cbsa_metro,17340,"Clearlake, CA metro area",micropolitan_statistical_area,compatible,Exact five-digit code is present in at least one exact-pinned BPS CBSA parent
crescent_city_ca_metro_area__cbsa_metro,18860,"Crescent City, CA metro area",micropolitan_statistical_area,compatible,Exact five-digit code is present in at least one exact-pinned BPS CBSA parent
cumberland_md_metro_area__cbsa_metro,19060,"Cumberland, MD metro area",metropolitan_statistical_area,compatible,Exact five-digit code is present in at least one exact-pinned BPS CBSA parent
danville_va_metro_area__cbsa_metro,19260,"Danville, VA metro area",metropolitan_statistical_area,compatible,Exact five-digit code is present in at least one exact-pinned BPS CBSA parent
easton_md_metro_area__cbsa_metro,20660,"Easton, MD metro area",micropolitan_statistical_area,compatible,Exact five-digit code is present in at least one exact-pinned BPS CBSA parent
el_centro_ca_metro_area__cbsa_metro,20940,"El Centro, CA metro area",metropolitan_statistical_area,compatible,Exact five-digit code is present in at least one exact-pinned BPS CBSA parent
eureka_ca_metro_area__cbsa_metro,21700,"Eureka, CA metro area",metropolitan_statistical_area,compatible,Exact five-digit code is present in at least one exact-pinned BPS CBSA parent
frederick_md_metro_area__cbsa_metro,23224,"Frederick, MD metro area",metropolitan_division,unsupported,BPS CBSA product does not publish Metropolitan Division identities; absence is retained without derivation
fresno_ca_metro_area__cbsa_metro,23420,"Fresno, CA metro area",metropolitan_statistical_area,compatible,Exact five-digit code is present in at least one exact-pinned BPS CBSA parent
hagerstown_md_metro_area__cbsa_metro,25180,"Hagerstown, MD metro area",metropolitan_statistical_area,compatible,Exact five-digit code is present in at least one exact-pinned BPS CBSA parent
hanford_ca_metro_area__cbsa_metro,25260,"Hanford, CA metro area",metropolitan_statistical_area,compatible,Exact five-digit code is present in at least one exact-pinned BPS CBSA parent
harrisonburg_va_metro_area__cbsa_metro,25500,"Harrisonburg, VA metro area",metropolitan_statistical_area,compatible,Exact five-digit code is present in at least one exact-pinned BPS CBSA parent
los_angeles_ca_metro_area__cbsa_metro,31084,"Los Angeles, CA metro area",metropolitan_division,unsupported,BPS CBSA product does not publish Metropolitan Division identities; absence is retained without derivation
lynchburg_va_metro_area__cbsa_metro,31340,"Lynchburg, VA metro area",metropolitan_statistical_area,compatible,Exact five-digit code is present in at least one exact-pinned BPS CBSA parent
madera_ca_metro_area__cbsa_metro,31460,"Madera, CA metro area",metropolitan_statistical_area,compatible,Exact five-digit code is present in at least one exact-pinned BPS CBSA parent
martinsville_va_metro_area__cbsa_metro,32300,"Martinsville, VA metro area",micropolitan_statistical_area,compatible,Exact five-digit code is present in at least one exact-pinned BPS CBSA parent
merced_ca_metro_area__cbsa_metro,32900,"Merced, CA metro area",metropolitan_statistical_area,compatible,Exact five-digit code is present in at least one exact-pinned BPS CBSA parent
modesto_ca_metro_area__cbsa_metro,33700,"Modesto, CA metro area",metropolitan_statistical_area,compatible,Exact five-digit code is present in at least one exact-pinned BPS CBSA parent
napa_ca_metro_area__cbsa_metro,34900,"Napa, CA metro area",metropolitan_statistical_area,compatible,Exact five-digit code is present in at least one exact-pinned BPS CBSA parent
new_brunswick_nj_metro_area__cbsa_metro,35154,"New Brunswick, NJ metro area",metropolitan_division,unsupported,BPS CBSA product does not publish Metropolitan Division identities; absence is retained without derivation
newark_nj_metro_area__cbsa_metro,35084,"Newark, NJ metro area",metropolitan_division,unsupported,BPS CBSA product does not publish Metropolitan Division identities; absence is retained without derivation
oakland_ca_metro_area__cbsa_metro,36084,"Oakland, CA metro area",metropolitan_division,unsupported,BPS CBSA product does not publish Metropolitan Division identities; absence is retained without derivation
ocean_city_nj_metro_area__cbsa_metro,36140,"Ocean City, NJ metro area",metropolitan_statistical_area,compatible,Exact five-digit code is present in at least one exact-pinned BPS CBSA parent
oxnard_ca_metro_area__cbsa_metro,37100,"Oxnard, CA metro area",metropolitan_statistical_area,compatible,Exact five-digit code is present in at least one exact-pinned BPS CBSA parent
red_bluff_ca_metro_area__cbsa_metro,39780,"Red Bluff, CA metro area",micropolitan_statistical_area,compatible,Exact five-digit code is present in at least one exact-pinned BPS CBSA parent
redding_ca_metro_area__cbsa_metro,39820,"Redding, CA metro area",metropolitan_statistical_area,compatible,Exact five-digit code is present in at least one exact-pinned BPS CBSA parent
richmond_va_metro_area__cbsa_metro,40060,"Richmond, VA metro area",metropolitan_statistical_area,compatible,Exact five-digit code is present in at least one exact-pinned BPS CBSA parent
riverside_ca_metro_area__cbsa_metro,40140,"Riverside, CA metro area",metropolitan_statistical_area,compatible,Exact five-digit code is present in at least one exact-pinned BPS CBSA parent
roanoke_va_metro_area__cbsa_metro,40220,"Roanoke, VA metro area",metropolitan_statistical_area,compatible,Exact five-digit code is present in at least one exact-pinned BPS CBSA parent
sacramento_ca_metro_area__cbsa_metro,40900,"Sacramento, CA metro area",metropolitan_statistical_area,compatible,Exact five-digit code is present in at least one exact-pinned BPS CBSA parent
salinas_ca_metro_area__cbsa_metro,41500,"Salinas, CA metro area",metropolitan_statistical_area,compatible,Exact five-digit code is present in at least one exact-pinned BPS CBSA parent
san_diego_ca_metro_area__cbsa_metro,41740,"San Diego, CA metro area",metropolitan_statistical_area,compatible,Exact five-digit code is present in at least one exact-pinned BPS CBSA parent
san_francisco_ca_metro_area__cbsa_metro,41884,"San Francisco, CA metro area",metropolitan_division,unsupported,BPS CBSA product does not publish Metropolitan Division identities; absence is retained without derivation
san_jose_ca_metro_area__cbsa_metro,41940,"San Jose, CA metro area",metropolitan_statistical_area,compatible,Exact five-digit code is present in at least one exact-pinned BPS CBSA parent
san_luis_obispo_ca_metro_area__cbsa_metro,42020,"San Luis Obispo, CA metro area",metropolitan_statistical_area,compatible,Exact five-digit code is present in at least one exact-pinned BPS CBSA parent
san_rafael_ca_metro_area__cbsa_metro,42034,"San Rafael, CA metro area",metropolitan_division,unsupported,BPS CBSA product does not publish Metropolitan Division identities; absence is retained without derivation
santa_cruz_ca_metro_area__cbsa_metro,42100,"Santa Cruz, CA metro area",metropolitan_statistical_area,compatible,Exact five-digit code is present in at least one exact-pinned BPS CBSA parent
santa_maria_ca_metro_area__cbsa_metro,42200,"Santa Maria, CA metro area",metropolitan_statistical_area,compatible,Exact five-digit code is present in at least one exact-pinned BPS CBSA parent
santa_rosa_ca_metro_area__cbsa_metro,42220,"Santa Rosa, CA metro area",metropolitan_statistical_area,compatible,Exact five-digit code is present in at least one exact-pinned BPS CBSA parent
sonora_ca_metro_area__cbsa_metro,43760,"Sonora, CA metro area",micropolitan_statistical_area,compatible,Exact five-digit code is present in at least one exact-pinned BPS CBSA parent
staunton_va_metro_area__cbsa_metro,44420,"Staunton, VA metro area",metropolitan_statistical_area,compatible,Exact five-digit code is present in at least one exact-pinned BPS CBSA parent
stockton_ca_metro_area__cbsa_metro,44700,"Stockton, CA metro area",metropolitan_statistical_area,compatible,Exact five-digit code is present in at least one exact-pinned BPS CBSA parent
susanville_ca_metro_area__cbsa_metro,45000,"Susanville, CA metro area",micropolitan_statistical_area,compatible,Exact five-digit code is present in at least one exact-pinned BPS CBSA parent
trenton_nj_metro_area__cbsa_metro,45940,"Trenton, NJ metro area",metropolitan_statistical_area,compatible,Exact five-digit code is present in at least one exact-pinned BPS CBSA parent
truckee_ca_metro_area__cbsa_metro,46020,"Truckee, CA metro area",micropolitan_statistical_area,compatible,Exact five-digit code is present in at least one exact-pinned BPS CBSA parent
ukiah_ca_metro_area__cbsa_metro,46380,"Ukiah, CA metro area",micropolitan_statistical_area,compatible,Exact five-digit code is present in at least one exact-pinned BPS CBSA parent
