geo_id,level,provider_location_type,provider_identifier,metric_id,provider_measure,unit,scale_transform,seasonal_adjustment,classification
alameda_county_ca__county,county,County,06001,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
butte_county_ca__county,county,County,06007,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
contra_costa_county_ca__county,county,County,06013,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
del_norte_county_ca__county,county,County,06015,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
el_dorado_county_ca__county,county,County,06017,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
fresno_county_ca__county,county,County,06019,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
humboldt_county_ca__county,county,County,06023,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
imperial_county_ca__county,county,County,06025,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
kern_county_ca__county,county,County,06029,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
kings_county_ca__county,county,County,06031,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
lake_county_ca__county,county,County,06033,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
lassen_county_ca__county,county,County,06035,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
los_angeles_county_ca__county,county,County,06037,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
madera_county_ca__county,county,County,06039,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
marin_county_ca__county,county,County,06041,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
mendocino_county_ca__county,county,County,06045,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
merced_county_ca__county,county,County,06047,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
monterey_county_ca__county,county,County,06053,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
napa_county_ca__county,county,County,06055,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
nevada_county_ca__county,county,County,06057,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
orange_county_ca__county,county,County,06059,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
placer_county_ca__county,county,County,06061,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
riverside_county_ca__county,county,County,06065,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
sacramento_county_ca__county,county,County,06067,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
san_benito_county_ca__county,county,County,06069,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
san_bernardino_county_ca__county,county,County,06071,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
san_diego_county_ca__county,county,County,06073,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
san_francisco_county_ca__county,county,County,06075,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
san_joaquin_county_ca__county,county,County,06077,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
san_luis_obispo_county_ca__county,county,County,06079,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
san_mateo_county_ca__county,county,County,06081,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
santa_barbara_county_ca__county,county,County,06083,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
santa_clara_county_ca__county,county,County,06085,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
santa_cruz_county_ca__county,county,County,06087,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
shasta_county_ca__county,county,County,06089,census_bp_total_units,total_units,housing_units,none,NSA,GOVERNED_REQUIRED
