geo_id,series_id,metric_base,seasonal,name,area
arlington_msd,SMU51116946500000001,ces_education_health_services,U,,"Arlington-Alexandria-Reston, VA-WV MSD"
arlington_msd,SMU51116945500000001,ces_financial_activities,U,,"Arlington-Alexandria-Reston, VA-WV MSD"
arlington_msd,SMU51116949000000001,ces_government,U,,"Arlington-Alexandria-Reston, VA-WV MSD"
arlington_msd,SMU51116945000000001,ces_information,U,,"Arlington-Alexandria-Reston, VA-WV MSD"
arlington_msd,SMU51116947000000001,ces_leisure_hospitality,U,,"Arlington-Alexandria-Reston, VA-WV MSD"
arlington_msd,SMU51116943000000001,ces_manufacturing,U,,"Arlington-Alexandria-Reston, VA-WV MSD"
arlington_msd,SMU51116948000000001,ces_other_services,U,,"Arlington-Alexandria-Reston, VA-WV MSD"
arlington_msd,SMU51116946000000001,ces_prof_business_services,U,,"Arlington-Alexandria-Reston, VA-WV MSD"
arlington_msd,SMS51116940000000001,ces_total_nonfarm,S,,"Arlington-Alexandria-Reston, VA-WV MSD"
arlington_msd,SMU51116940000000001,ces_total_nonfarm,U,,"Arlington-Alexandria-Reston, VA-WV MSD"
arlington_msd,SMU51116940500000001,ces_total_private,U,,"Arlington-Alexandria-Reston, VA-WV MSD"
arlington_msd,SMU51116944000000001,ces_trade_transport_utilities,U,,"Arlington-Alexandria-Reston, VA-WV MSD"
baltimore_msa,SMU24125806500000001,ces_education_health_services,U,,"Baltimore-Columbia-Towson, MD MSA"
baltimore_msa,SMU24125805500000001,ces_financial_activities,U,,"Baltimore-Columbia-Towson, MD MSA"
baltimore_msa,SMU24125809000000001,ces_government,U,,"Baltimore-Columbia-Towson, MD MSA"
baltimore_msa,SMU24125805000000001,ces_information,U,,"Baltimore-Columbia-Towson, MD MSA"
baltimore_msa,SMU24125807000000001,ces_leisure_hospitality,U,,"Baltimore-Columbia-Towson, MD MSA"
baltimore_msa,SMU24125803000000001,ces_manufacturing,U,,"Baltimore-Columbia-Towson, MD MSA"
baltimore_msa,SMU24125808000000001,ces_other_services,U,,"Baltimore-Columbia-Towson, MD MSA"
baltimore_msa,SMU24125806000000001,ces_prof_business_services,U,,"Baltimore-Columbia-Towson, MD MSA"
baltimore_msa,SMS24125800000000001,ces_total_nonfarm,S,,"Baltimore-Columbia-Towson, MD MSA"
baltimore_msa,SMU24125800000000001,ces_total_nonfarm,U,,"Baltimore-Columbia-Towson, MD MSA"
baltimore_msa,SMU24125800500000001,ces_total_private,U,,"Baltimore-Columbia-Towson, MD MSA"
baltimore_msa,SMU24125804000000001,ces_trade_transport_utilities,U,,"Baltimore-Columbia-Towson, MD MSA"
dc_msa,SMU11479006500000001,ces_education_health_services,U,,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA"
dc_msa,SMU11479005500000001,ces_financial_activities,U,,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA"
dc_msa,SMU11479009000000001,ces_government,U,,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA"
dc_msa,SMU11479005000000001,ces_information,U,,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA"
dc_msa,SMU11479007000000001,ces_leisure_hospitality,U,,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA"
dc_msa,SMU11479003000000001,ces_manufacturing,U,,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA"
dc_msa,SMU11479008000000001,ces_other_services,U,,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA"
dc_msa,SMU11479006000000001,ces_prof_business_services,U,,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA"
dc_msa,SMS11479000000000001,ces_total_nonfarm,S,,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA"
