geo_id,level,geo_name,bls_ces_area_code,include_ces,bls_laus_area_code,include_laus,redfin_code,include_redfin,census_code,include_census

dc_state,state,District of Columbia,110000,1,1100000000000,1,,,11,1
md_state,state,Maryland,240000,1,2400000000000,1,,,24,1
va_state,state,Virginia,510000,1,5100000000000,1,,,51,1

dc_msa,metro_area,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",47900,1,1147900000000,1,47894,1,47900,1
baltimore_msa,metro_area,"Baltimore-Columbia-Towson, MD MSA",12580,1,2412580000000,1,12580,1,12580,1

dc_msd,metro_division,"Washington, DC-MD MSD",47764,1,1147764000000,1,,,47764,1
arlington_msd,metro_division,"Arlington-Alexandria-Reston, VA-WV MSD",11694,1,5111694000000,1,,,11694,1

dc_csa,combined_area,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA CSA",47764,1,1154800000000,1,,,47764,1

alexandria_city_county,county,"Alexandria, VA (county)",51510,1,5151000000000,1,,,51510,1
arlington_county_va,county,"Arlington County, VA",51013,1,5101300000000,1,,,51013,1
montgomery_county_md,county,"Montgomery County, MD",240310,1,2403100000000,1,,,24031,1
prince_georges_county_md,county,"Prince George's County, MD",240330,1,2403300000000,1,,,24033,1
prince_william_county_va,county,"Prince William County, VA",511530,1,5115300000000,1,,,51153,1
dc_county,county,District of Columbia (county),11001,1,1100100000000,1,,,11001,1
baltimore_county,county,"Baltimore County, MD",24005,1,2400500000000,1,,,24005,1
baltimore_city_county,county,"Baltimore City, MD (county)",24510,1,2451000000000,1,,,24510,1

dc_city,city,"Washington, DC (city)",11500,1,1150000000000,1,,,1150000,1
baltimore_city,city,"Baltimore City, MD",24040,1,2404000000000,1,,,2404000,1
bowie_city,city,"Bowie City, MD",2408775,1,2408775000000,1,,,2408775,1
rockville_city,city,"Rockville, MD",2467675,1,2467675000000,1,,,2467675,1
alexandria_city,city,"Alexandria, VA (city)",510100,1,5101000000000,1,,,5101000,1
