geo_name,geo_level,redfin_code,state_code,include,notes
"20001, District of Columbia, DC",zip,7747,DC,1,"Generated from Redfin local context hierarchy; zip5=20001; state_code=DC; county=District of Columbia, DC; redfin_table_id=7747; parent_county_table_id=436"
"20002, District of Columbia, DC",zip,7748,DC,1,"Generated from Redfin local context hierarchy; zip5=20002; state_code=DC; county=District of Columbia, DC; redfin_table_id=7748; parent_county_table_id=436"
"20003, District of Columbia, DC",zip,7749,DC,1,"Generated from Redfin local context hierarchy; zip5=20003; state_code=DC; county=District of Columbia, DC; redfin_table_id=7749; parent_county_table_id=436"
"20004, District of Columbia, DC",zip,7750,DC,1,"Generated from Redfin local context hierarchy; zip5=20004; state_code=DC; county=District of Columbia, DC; redfin_table_id=7750; parent_county_table_id=436"
"20005, District of Columbia, DC",zip,7751,DC,1,"Generated from Redfin local context hierarchy; zip5=20005; state_code=DC; county=District of Columbia, DC; redfin_table_id=7751; parent_county_table_id=436"
"20006, District of Columbia, DC",zip,7752,DC,1,"Generated from Redfin local context hierarchy; zip5=20006; state_code=DC; county=District of Columbia, DC; redfin_table_id=7752; parent_county_table_id=436"
"20007, District of Columbia, DC",zip,7753,DC,1,"Generated from Redfin local context hierarchy; zip5=20007; state_code=DC; county=District of Columbia, DC; redfin_table_id=7753; parent_county_table_id=436"
"20008, District of Columbia, DC",zip,7754,DC,1,"Generated from Redfin local context hierarchy; zip5=20008; state_code=DC; county=District of Columbia, DC; redfin_table_id=7754; parent_county_table_id=436"
"20009, District of Columbia, DC",zip,7755,DC,1,"Generated from Redfin local context hierarchy; zip5=20009; state_code=DC; county=District of Columbia, DC; redfin_table_id=7755; parent_county_table_id=436"
"20010, District of Columbia, DC",zip,7756,DC,1,"Generated from Redfin local context hierarchy; zip5=20010; state_code=DC; county=District of Columbia, DC; redfin_table_id=7756; parent_county_table_id=436"
"20011, District of Columbia, DC",zip,7757,DC,1,"Generated from Redfin local context hierarchy; zip5=20011; state_code=DC; county=District of Columbia, DC; redfin_table_id=7757; parent_county_table_id=436"
