geo_name,geo_level,redfin_code,state_code,include,notes
"Anaheim, CA metro area",cbsa_metro,11244,CA,1,Generated from Redfin macro hierarchy; metro_code=11244
"Atlantic City, NJ metro area",cbsa_metro,12100,NJ,1,Generated from Redfin macro hierarchy; metro_code=12100
"Bakersfield, CA metro area",cbsa_metro,12540,CA,1,Generated from Redfin macro hierarchy; metro_code=12540
"Baltimore, MD metro area",cbsa_metro,12580,MD,1,Generated from Redfin macro hierarchy; metro_code=12580
"Big Stone Gap, VA metro area",cbsa_metro,13720,VA,1,Generated from Redfin macro hierarchy; metro_code=13720
"Blacksburg, VA metro area",cbsa_metro,13980,VA,1,Generated from Redfin macro hierarchy; metro_code=13980
"California, MD metro area",cbsa_metro,15680,MD,1,Generated from Redfin macro hierarchy; metro_code=15680
"Cambridge, MD metro area",cbsa_metro,15700,MD,1,Generated from Redfin macro hierarchy; metro_code=15700
"Camden, NJ metro area",cbsa_metro,15804,NJ,1,Generated from Redfin macro hierarchy; metro_code=15804
"Charlottesville, VA metro area",cbsa_metro,16820,VA,1,Generated from Redfin macro hierarchy; metro_code=16820
"Chico, CA metro area",cbsa_metro,17020,CA,1,Generated from Redfin macro hierarchy; metro_code=17020
"Clearlake, CA metro area",cbsa_metro,17340,CA,1,Generated from Redfin macro hierarchy; metro_code=17340
"Crescent City, CA metro area",cbsa_metro,18860,CA,1,Generated from Redfin macro hierarchy; metro_code=18860
"Cumberland, MD metro area",cbsa_metro,19060,MD,1,Generated from Redfin macro hierarchy; metro_code=19060
"Danville, VA metro area",cbsa_metro,19260,VA,1,Generated from Redfin macro hierarchy; metro_code=19260
"Easton, MD metro area",cbsa_metro,20660,MD,1,Generated from Redfin macro hierarchy; metro_code=20660
"El Centro, CA metro area",cbsa_metro,20940,CA,1,Generated from Redfin macro hierarchy; metro_code=20940
"Eureka, CA metro area",cbsa_metro,21700,CA,1,Generated from Redfin macro hierarchy; metro_code=21700
"Frederick, MD metro area",cbsa_metro,23224,MD,1,Generated from Redfin macro hierarchy; metro_code=23224
"Fresno, CA metro area",cbsa_metro,23420,CA,1,Generated from Redfin macro hierarchy; metro_code=23420
"Hagerstown, MD metro area",cbsa_metro,25180,MD,1,Generated from Redfin macro hierarchy; metro_code=25180
"Hanford, CA metro area",cbsa_metro,25260,CA,1,Generated from Redfin macro hierarchy; metro_code=25260
"Harrisonburg, VA metro area",cbsa_metro,25500,VA,1,Generated from Redfin macro hierarchy; metro_code=25500
"Los Angeles, CA metro area",cbsa_metro,31084,CA,1,Generated from Redfin macro hierarchy; metro_code=31084
"Lynchburg, VA metro area",cbsa_metro,31340,VA,1,Generated from Redfin macro hierarchy; metro_code=31340
"Madera, CA metro area",cbsa_metro,31460,CA,1,Generated from Redfin macro hierarchy; metro_code=31460
"Martinsville, VA metro area",cbsa_metro,32300,VA,1,Generated from Redfin macro hierarchy; metro_code=32300
"Merced, CA metro area",cbsa_metro,32900,CA,1,Generated from Redfin macro hierarchy; metro_code=32900
"Modesto, CA metro area",cbsa_metro,33700,CA,1,Generated from Redfin macro hierarchy; metro_code=33700
"Napa, CA metro area",cbsa_metro,34900,CA,1,Generated from Redfin macro hierarchy; metro_code=34900
"New Brunswick, NJ metro area",cbsa_metro,35154,NJ,1,Generated from Redfin macro hierarchy; metro_code=35154
"Newark, NJ metro area",cbsa_metro,35084,NJ,1,Generated from Redfin macro hierarchy; metro_code=35084
"Oakland, CA metro area",cbsa_metro,36084,CA,1,Generated from Redfin macro hierarchy; metro_code=36084
"Ocean City, NJ metro area",cbsa_metro,36140,NJ,1,Generated from Redfin macro hierarchy; metro_code=36140
"Oxnard, CA metro area",cbsa_metro,37100,CA,1,Generated from Redfin macro hierarchy; metro_code=37100
"Red Bluff, CA metro area",cbsa_metro,39780,CA,1,Generated from Redfin macro hierarchy; metro_code=39780
"Redding, CA metro area",cbsa_metro,39820,CA,1,Generated from Redfin macro hierarchy; metro_code=39820
"Richmond, VA metro area",cbsa_metro,40060,VA,1,Generated from Redfin macro hierarchy; metro_code=40060
"Riverside, CA metro area",cbsa_metro,40140,CA,1,Generated from Redfin macro hierarchy; metro_code=40140
"Roanoke, VA metro area",cbsa_metro,40220,VA,1,Generated from Redfin macro hierarchy; metro_code=40220
"Sacramento, CA metro area",cbsa_metro,40900,CA,1,Generated from Redfin macro hierarchy; metro_code=40900
"Salinas, CA metro area",cbsa_metro,41500,CA,1,Generated from Redfin macro hierarchy; metro_code=41500
"San Diego, CA metro area",cbsa_metro,41740,CA,1,Generated from Redfin macro hierarchy; metro_code=41740
"San Francisco, CA metro area",cbsa_metro,41884,CA,1,Generated from Redfin macro hierarchy; metro_code=41884
"San Jose, CA metro area",cbsa_metro,41940,CA,1,Generated from Redfin macro hierarchy; metro_code=41940
"San Luis Obispo, CA metro area",cbsa_metro,42020,CA,1,Generated from Redfin macro hierarchy; metro_code=42020
"San Rafael, CA metro area",cbsa_metro,42034,CA,1,Generated from Redfin macro hierarchy; metro_code=42034
