indicator_id,indicator_name,source_id,metric_id,geo_level,frequency,default_transform,direction,is_forecastable,notes

redfin_median_sale_price,Median Sale Price,redfin,median_sale_price_nsa,all,monthly,yoy_zscore,positive,true,
redfin_median_ppsf,Median Price Per Sq Ft,redfin,median_sale_price_per_sqft,all,monthly,yoy_zscore,positive,true,
redfin_dom,Median Days on Market,redfin,median_days_on_market_days,all,monthly,yoy_zscore,negative,true,
redfin_inventory,Inventory,redfin,inventory,all,monthly,yoy_zscore,negative,true,
redfin_homes_sold,Homes Sold,redfin,homes_sold,all,monthly,yoy_zscore,positive,true,
redfin_new_listings,New Listings,redfin,new_listings,all,monthly,yoy_zscore,positive,true,
redfin_months_supply,Months of Supply,redfin,months_of_supply,all,monthly,yoy_zscore,negative,true,
redfin_sale_to_list,Average Sale-to-List Ratio,redfin,average_sale_to_list_ratio,all,monthly,level_zscore,positive,true,
acs5_population,Population,census_acs5,census_acs5_pop_total,all,annual,yoy_zscore,positive,false,
acs5_median_household_income,Median Household Income,census_acs5,census_acs5_median_household_income,all,annual,yoy_zscore,positive,false,
bea_annual_gdp,Annual Real GDP,bea_gdp_ann,bea_agdp_real_total_chained2017,all,annual,yoy_zscore,positive,false,
bea_quarterly_gdp,Quarterly Real GDP SAAR,bea_gdp_qtr,bea_qgdp_real_total_chained2017_saar,all,quarterly,yoy_zscore,positive,true,
laus_labor_force,LAUS Labor Force,laus,laus_labor_force_sa,all,monthly,yoy_zscore,positive,true,
laus_employment,LAUS Employment,laus,laus_employment_sa,all,monthly,yoy_zscore,positive,true,
laus_unemployment_rate,LAUS Unemployment Rate,laus,laus_unemployment_rate_sa,all,monthly,level_zscore,negative,true,
fred_unemployment_rate,FRED Unemployment Rate,fred_unemp,fred_unemployment_rate_sa,all,monthly,level_zscore,negative,true,
ces_total_nonfarm,CES Total Nonfarm,ces,ces_total_nonfarm_sa,all,monthly,yoy_zscore,positive,true,
ces_construction,CES Construction,ces,ces_construction_sa,all,monthly,yoy_zscore,positive,true,
bps_total_units,Building Permits Total Units,census_bps,census_bp_total_units,all,monthly,yoy_zscore,negative,true,
nrc_housing_starts,Housing Starts,census_nrc_fred,census_housing_starts_total_saar,all,monthly,yoy_zscore,negative,true,
nrc_housing_completions,Housing Completions,census_nrc_fred,census_housing_completions_total_saar,all,monthly,yoy_zscore,negative,true,
fred_mortgage_30y,30-Year Mortgage Rate,fred_macro,fred_mortgage_30y_avg,nation,monthly,level_zscore,negative,true,
fred_fedfunds,Fed Funds Rate,fred_macro,fred_fedfunds,nation,monthly,level_zscore,negative,true,
fred_10y,Treasury 10-Year Yield,fred_macro,fred_gs10,nation,monthly,level_zscore,negative,true,
fred_2y10y_spread,2Y-10Y Treasury Spread,fred_macro,fred_spread_2y_10y,nation,monthly,level_zscore,positive,true,
fred_cpi,CPI Urban SA Index,fred_macro,fred_cpi_urban_sa_index,nation,monthly,yoy_zscore,negative,true,
