legacy_geo_id,canonical_geo_slug,mapping_method,mapping_source,mapping_version,legacy_level,canonical_level,stable_source_identifier,notes
alexandria_city,,governed_retired_identity_exclusion,config/geo_manifest.csv migration evidence reviewed against config/geo_manifest.generated.csv,phase8c_geo_identity_v1,city,city,census_code=5101000,Generated manifest intentionally has no canonical row at this retired non-county level; resolve level for pre-materialization exclusion only.
arlington_county_va,arlington_county_va__county,stable_source_identifier,config/geo_manifest.csv migration evidence reviewed against config/geo_manifest.generated.csv,phase8c_geo_identity_v1,county,county,redfin_code=2943,Validated against generated manifest using legacy manifest source codes.
arlington_msd,,governed_retired_identity_exclusion,config/geo_manifest.csv migration evidence reviewed against config/geo_manifest.generated.csv,phase8c_geo_identity_v1,metro_division,metro_division,census_code=11694,Generated manifest intentionally has no canonical row at this retired non-county level; resolve level for pre-materialization exclusion only.
baltimore_city,,governed_retired_identity_exclusion,config/geo_manifest.csv migration evidence reviewed against config/geo_manifest.generated.csv,phase8c_geo_identity_v1,city,city,census_code=2404000,Generated manifest intentionally has no canonical row at this retired non-county level; resolve level for pre-materialization exclusion only.
baltimore_city_county,baltimore_city_county_md__county,stable_source_identifier,config/geo_manifest.csv migration evidence reviewed against config/geo_manifest.generated.csv,phase8c_geo_identity_v1,county,county,redfin_code=1333,Validated against generated manifest using legacy manifest source codes.
baltimore_county,baltimore_county_md__county,stable_source_identifier,config/geo_manifest.csv migration evidence reviewed against config/geo_manifest.generated.csv,phase8c_geo_identity_v1,county,county,redfin_code=1312,Validated against generated manifest using legacy manifest source codes.
bowie_city,,governed_retired_identity_exclusion,config/geo_manifest.csv migration evidence reviewed against config/geo_manifest.generated.csv,phase8c_geo_identity_v1,city,city,census_code=2408775,Generated manifest intentionally has no canonical row at this retired non-county level; resolve level for pre-materialization exclusion only.
dc_city,,governed_retired_identity_exclusion,config/geo_manifest.csv migration evidence reviewed against config/geo_manifest.generated.csv,phase8c_geo_identity_v1,city,city,census_code=1150000,Generated manifest intentionally has no canonical row at this retired non-county level; resolve level for pre-materialization exclusion only.
dc_county,district_of_columbia_dc__county,stable_source_identifier,config/geo_manifest.csv migration evidence reviewed against config/geo_manifest.generated.csv,phase8c_geo_identity_v1,county,county,redfin_code=436,Validated against generated manifest using legacy manifest source codes.
dc_csa,,governed_retired_identity_exclusion,config/geo_manifest.csv migration evidence reviewed against config/geo_manifest.generated.csv,phase8c_geo_identity_v1,combined_area,combined_area,census_code=47764,Generated manifest intentionally has no canonical row at this retired non-county level; resolve level for pre-materialization exclusion only.
dc_msd,,governed_retired_identity_exclusion,config/geo_manifest.csv migration evidence reviewed against config/geo_manifest.generated.csv,phase8c_geo_identity_v1,metro_division,metro_division,census_code=47764,Generated manifest intentionally has no canonical row at this retired non-county level; resolve level for pre-materialization exclusion only.
montgomery_county_md,montgomery_county_md__county,stable_source_identifier,config/geo_manifest.csv migration evidence reviewed against config/geo_manifest.generated.csv,phase8c_geo_identity_v1,county,county,redfin_code=1324,Validated against generated manifest using legacy manifest source codes.
prince_georges_county_md,prince_george_s_county_md__county,stable_source_identifier,config/geo_manifest.csv migration evidence reviewed against config/geo_manifest.generated.csv,phase8c_geo_identity_v1,county,county,redfin_code=1325,Validated against generated manifest using legacy manifest source codes.
prince_william_county_va,prince_william_county_va__county,stable_source_identifier,config/geo_manifest.csv migration evidence reviewed against config/geo_manifest.generated.csv,phase8c_geo_identity_v1,county,county,redfin_code=3009,Validated against generated manifest using legacy manifest source codes.
rockville_city,,governed_retired_identity_exclusion,config/geo_manifest.csv migration evidence reviewed against config/geo_manifest.generated.csv,phase8c_geo_identity_v1,city,city,census_code=2467675,Generated manifest intentionally has no canonical row at this retired non-county level; resolve level for pre-materialization exclusion only.
