geo_id,series_id,metric_base,seasonal,name,notes
dc_state,LAUST110000000000003,laus_unemployment_rate,NSA,"Unemployment Rate (State, NSA)",District of Columbia
dc_state,LASST110000000000003,laus_unemployment_rate,SA,"Unemployment Rate (State, SA)",District of Columbia
dc_state,LAUST110000000000004,laus_unemployment,NSA,"Unemployment (State, NSA)",District of Columbia
dc_state,LASST110000000000004,laus_unemployment,SA,"Unemployment (State, SA)",District of Columbia
dc_state,LAUST110000000000005,laus_employment,NSA,"Employment (State, NSA)",District of Columbia
dc_state,LASST110000000000005,laus_employment,SA,"Employment (State, SA)",District of Columbia
dc_state,LAUST110000000000006,laus_labor_force,NSA,"Labor Force (State, NSA)",District of Columbia
dc_state,LASST110000000000006,laus_labor_force,SA,"Labor Force (State, SA)",District of Columbia
md_state,LAUST240000000000003,laus_unemployment_rate,NSA,"Unemployment Rate (State, NSA)",Maryland
md_state,LASST240000000000003,laus_unemployment_rate,SA,"Unemployment Rate (State, SA)",Maryland
md_state,LAUST240000000000004,laus_unemployment,NSA,"Unemployment (State, NSA)",Maryland
md_state,LASST240000000000004,laus_unemployment,SA,"Unemployment (State, SA)",Maryland
md_state,LAUST240000000000005,laus_employment,NSA,"Employment (State, NSA)",Maryland
md_state,LASST240000000000005,laus_employment,SA,"Employment (State, SA)",Maryland
md_state,LAUST240000000000006,laus_labor_force,NSA,"Labor Force (State, NSA)",Maryland
md_state,LASST240000000000006,laus_labor_force,SA,"Labor Force (State, SA)",Maryland
va_state,LAUST510000000000003,laus_unemployment_rate,NSA,"Unemployment Rate (State, NSA)",Virginia
va_state,LASST510000000000003,laus_unemployment_rate,SA,"Unemployment Rate (State, SA)",Virginia
va_state,LAUST510000000000004,laus_unemployment,NSA,"Unemployment (State, NSA)",Virginia
va_state,LASST510000000000004,laus_unemployment,SA,"Unemployment (State, SA)",Virginia
va_state,LAUST510000000000005,laus_employment,NSA,"Employment (State, NSA)",Virginia
va_state,LASST510000000000005,laus_employment,SA,"Employment (State, SA)",Virginia
va_state,LAUST510000000000006,laus_labor_force,NSA,"Labor Force (State, NSA)",Virginia
va_state,LASST510000000000006,laus_labor_force,SA,"Labor Force (State, SA)",Virginia
dc_msa,LAUMT114790000000003,laus_unemployment_rate,NSA,"Unemployment Rate (Metro_Area, NSA)","Washington-Arlington-Alexandria, DC-VA-MD-WV MSA"
dc_msa,LAUMT114790000000004,laus_unemployment,NSA,"Unemployment (Metro_Area, NSA)","Washington-Arlington-Alexandria, DC-VA-MD-WV MSA"
dc_msa,LAUMT114790000000005,laus_employment,NSA,"Employment (Metro_Area, NSA)","Washington-Arlington-Alexandria, DC-VA-MD-WV MSA"
dc_msa,LAUMT114790000000006,laus_labor_force,NSA,"Labor Force (Metro_Area, NSA)","Washington-Arlington-Alexandria, DC-VA-MD-WV MSA"
baltimore_msa,LAUMT241258000000003,laus_unemployment_rate,NSA,"Unemployment Rate (Metro_Area, NSA)","Baltimore-Columbia-Towson, MD MSA"
baltimore_msa,LAUMT241258000000004,laus_unemployment,NSA,"Unemployment (Metro_Area, NSA)","Baltimore-Columbia-Towson, MD MSA"
baltimore_msa,LAUMT241258000000005,laus_employment,NSA,"Employment (Metro_Area, NSA)","Baltimore-Columbia-Towson, MD MSA"
baltimore_msa,LAUMT241258000000006,laus_labor_force,NSA,"Labor Force (Metro_Area, NSA)","Baltimore-Columbia-Towson, MD MSA"
