metric_key,source_id,metric_id,metric_name,description,geo_levels,frequency,native_units,seasonality,forecastable,notes
redfin_median_sale_price,redfin,median_sale_price_nsa,Median Sale Price,Median closed sale price,nation|state|cbsa_metro|county|zip,monthly,USD,NSA,true,
redfin_median_ppsf,redfin,median_sale_price_per_sqft,Median Sale Price Per Sq Ft,Median closed sale price per square foot,nation|state|cbsa_metro|county|zip,monthly,USD per sqft,NSA,true,
redfin_dom,redfin,median_days_on_market_days,Median Days on Market,Median days listings spend on market,nation|state|cbsa_metro|county|zip,monthly,Days,NSA,true,
redfin_inventory,redfin,inventory,Inventory,Active housing inventory,nation|state|cbsa_metro|county|zip,monthly,Homes,NSA,true,
redfin_homes_sold,redfin,homes_sold,Homes Sold,Closed sales count,nation|state|cbsa_metro|county|zip,monthly,Homes,NSA,true,
redfin_new_listings,redfin,new_listings,New Listings,New listings count,nation|state|cbsa_metro|county|zip,monthly,Homes,NSA,true,
redfin_pending_sales,redfin,pending_sales,Pending Sales,Pending sales count,nation|state|cbsa_metro|county|zip,monthly,Homes,NSA,true,
redfin_months_supply,redfin,months_of_supply,Months of Supply,Inventory relative to sales pace,nation|state|cbsa_metro|county|zip,monthly,Months,NSA,true,
redfin_sale_to_list,redfin,average_sale_to_list_ratio,Average Sale-to-List Ratio,Average sale price relative to list price,nation|state|cbsa_metro|county|zip,monthly,Percent,NSA,true,
redfin_sold_above_list,redfin,share_sold_above_original_list,Share Sold Above Original List,Share of homes sold above original list price,nation|state|cbsa_metro|county|zip,monthly,Percent,NSA,true,
redfin_off_market_two_weeks,redfin,percent_off_market_in_two_weeks,Percent Off Market in Two Weeks,Share of listings off market within two weeks,nation|state|cbsa_metro|county|zip,monthly,Percent,NSA,true,
acs1_population,census_acs1,census_acs1_pop_total,ACS 1-Year Population,Population estimate,nation|state|county|cbsa_metro,annual,People,NSA,true,Large geographies only
acs1_median_household_income,census_acs1,census_acs1_median_household_income,ACS 1-Year Median Household Income,Median household income,nation|state|county|cbsa_metro,annual,USD,NSA,true,Large geographies only
acs5_population,census_acs5,census_acs5_pop_total,ACS 5-Year Population,Population estimate,nation|state|county|cbsa_metro,annual,People,NSA,true,
acs5_median_household_income,census_acs5,census_acs5_median_household_income,ACS 5-Year Median Household Income,Median household income,nation|state|county|cbsa_metro,annual,USD,NSA,true,
bea_annual_gdp,bea_gdp_ann,bea_agdp_real_total_chained2017,Annual Real GDP,Annual real GDP in chained 2017 dollars,nation|state|county,annual,Chained 2017 dollars,SA,true,
bea_quarterly_gdp,bea_gdp_qtr,bea_qgdp_real_total_chained2017_saar,Quarterly Real GDP SAAR,Quarterly real GDP at seasonally adjusted annual rate,nation|state,quarterly,Chained 2017 dollars SAAR,SA,true,
laus_labor_force,laus,laus_labor_force_sa,LAUS Labor Force,Seasonally adjusted labor force,nation|state|cbsa_metro|county,monthly,People,SA,true,
laus_employment,laus,laus_employment_sa,LAUS Employment,Seasonally adjusted employment,nation|state|cbsa_metro|county,monthly,People,SA,true,
laus_unemployment,laus,laus_unemployment_sa,LAUS Unemployment,Seasonally adjusted unemployment,nation|state|cbsa_metro|county,monthly,People,SA,true,
laus_unemployment_rate,laus,laus_unemployment_rate_sa,LAUS Unemployment Rate,Seasonally adjusted unemployment rate,nation|state|cbsa_metro|county,monthly,Percent,SA,true,
fred_unemployment_rate,fred_unemp,fred_unemployment_rate_sa,FRED Unemployment Rate,Unemployment rate from FRED,nation|state,monthly,Percent,SA,true,
ces_total_nonfarm,ces,ces_total_nonfarm_sa,CES Total Nonfarm Employment,Seasonally adjusted total nonfarm employment,state|cbsa_metro,monthly,Jobs,SA,true,
ces_total_private,ces,ces_total_private_sa,CES Total Private Employment,Seasonally adjusted total private employment,state|cbsa_metro,monthly,Jobs,SA,true,
ces_construction,ces,ces_construction_sa,CES Construction Employment,Seasonally adjusted construction employment,state|cbsa_metro,monthly,Jobs,SA,true,
bps_total_units,census_bps,census_bp_total_units,Building Permits Total Units,Total permitted housing units,state|county|place,monthly,Units,NSA,true,
bps_total_buildings,census_bps,census_bp_total_bldgs,Building Permits Total Buildings,Total permitted buildings,state|county|place,monthly,Buildings,NSA,true,
bps_total_value,census_bps,census_bp_total_value,Building Permits Total Value,Total permitted construction value,state|county|place,monthly,USD,NSA,true,
bps_1_unit,census_bps,census_bp_1_unit,Building Permits 1-Unit,Permitted single-family units,state|county|place,monthly,Units,NSA,true,
bps_5plus_units,census_bps,census_bp_5plus_units,Building Permits 5+ Units,Permitted multifamily units in buildings with five or more units,state|county|place,monthly,Units,NSA,true,
nrc_housing_starts,census_nrc_fred,census_housing_starts_total_saar,Housing Starts,Housing starts at seasonally adjusted annual rate,nation|region,monthly,Units SAAR,SA,true,
nrc_housing_completions,census_nrc_fred,census_housing_completions_total_saar,Housing Completions,Housing completions at seasonally adjusted annual rate,nation|region,monthly,Units SAAR,SA,true,
fred_mortgage_30y,fred_macro,fred_mortgage_30y_avg,30-Year Mortgage Rate,Average 30-year fixed mortgage rate,nation,monthly,Percent,NSA,true,
