PERIOD_END	PERIOD_BEGIN	PERIOD_DURATION	REGION_TYPE	REGION_TYPE_ID	TABLE_ID	IS_SEASONALLY_ADJUSTED	REGION	CITY	STATE	STATE_CODE	PROPERTY_TYPE	PROPERTY_TYPE_ID	MEDIAN_SALE_PRICE	MEDIAN_SALE_PRICE_MOM	MEDIAN_SALE_PRICE_YOY	MEDIAN_LIST_PRICE	MEDIAN_LIST_PRICE_MOM	MEDIAN_LIST_PRICE_YOY	MEDIAN_PPSF	MEDIAN_PPSF_MOM	MEDIAN_PPSF_YOY	MEDIAN_LIST_PPSF	MEDIAN_LIST_PPSF_MOM	MEDIAN_LIST_PPSF_YOY	HOMES_SOLD	HOMES_SOLD_MOM	HOMES_SOLD_YOY	PENDING_SALES	PENDING_SALES_MOM	PENDING_SALES_YOY	NEW_LISTINGS	NEW_LISTINGS_MOM	NEW_LISTINGS_YOY	INVENTORY	INVENTORY_MOM	INVENTORY_YOY	MONTHS_OF_SUPPLY	MONTHS_OF_SUPPLY_MOM	MONTHS_OF_SUPPLY_YOY	MEDIAN_DOM	MEDIAN_DOM_MOM	MEDIAN_DOM_YOY	AVG_SALE_TO_LIST	AVG_SALE_TO_LIST_MOM	AVG_SALE_TO_LIST_YOY	SOLD_ABOVE_LIST	SOLD_ABOVE_LIST_MOM	SOLD_ABOVE_LIST_YOY	PRICE_DROPS	PRICE_DROPS_MOM	PRICE_DROPS_YOY	OFF_MARKET_IN_TWO_WEEKS	OFF_MARKET_IN_TWO_WEEKS_MOM	OFF_MARKET_IN_TWO_WEEKS_YOY	PARENT_METRO_REGION	PARENT_METRO_REGION_METRO_CODE	LAST_UPDATED	_norm_region	_norm_city	_norm_state	_norm_county	_norm_rtype
2018-01-31	2018-01-01	30	county	5	436	False	District of Columbia, DC		Columbia	DC	Condo/Co-op	3	430000.0	-0.009786989062	-0.005665394843	549450.0	0.1088799193	-0.0008183306056	541.618566619	0.0006502111596	0.03879090504	487.906976744	0.1705297077	-0.0222340637	257.0	-0.1137931034	-0.02651515152	284.0	0.02158273381	0.003533568905	329.0	0.6871794872	-0.02083333333	585.0	-0.04723127036	-0.008474576271	2.3	0.2	0.1	40.0	13.0	4.0	0.9965738459	0.005994479984	0.003790405325	0.280155642	-0.006051254528	0.003640490508	0.2	0.05179153094	0.02033898305	0.2429577465	0.09907285439	-0.004392076843	Washington, DC	47894.0	2025-10-13 14:40:31.665 Z	district of columbia dc	nan	columbia		county
2022-02-28	2022-02-01	30	county	5	436	False	District of Columbia, DC		Columbia	DC	Single Family Residential	6	1139000.0	0.3806897388	0.34	635000.0	-0.0172560551	0.02419354839	448.062131282	0.1123378136	0.2235909479	526.390870185	-0.03462828075	-0.05814493899	93.0	0.1481481481	-0.02105263158	111.0	0.07766990291	0.09900990099	131.0	0.3505154639	0.3789473684	183.0	0.2119205298	0.1509433962	2.0	0.1	0.3	19.0	-17.0	-9.0	1.036243744	0.03874357634	0.02019652197	0.5161290323	0.1581043409	0.06349745331	0.131147541	-0.05428292259	-0.01350654707	0.6126126126	0.156301933	0.04825617697	Washington, DC	47894.0	2025-10-13 14:40:31.665 Z	district of columbia dc	nan	columbia		county
2025-04-30	2025-04-01	30	county	5	436	False	District of Columbia, DC		Columbia	DC	Multi-Family (2-4 Unit)	4	1124500.0	0.3152046784	0.3713414634	652499.5	-0.03333407407	-0.02612014925	354.041862043	0.06744311605	0.0487754429	518.40437788	0.0272516344	-0.006054704293	14.0	-0.125	-0.3636363636	16.0	-0.2727272727	-0.3333333333	48.0	-0.04	0.3333333333	207.0	0.05612244898	0.5220588235	14.8	2.5	8.6	62.0	-68.0	-3.0	0.9892122705	-0.01175417453	-0.0003354131907	0.1428571429	-0.04464285714	-0.08441558442	0.231884058	0.01759834369	0.04806052856	0.25	0.02272727273	0.125	Washington, DC	47894.0	2025-10-13 14:40:31.665 Z	district of columbia dc	nan	columbia		county
2013-06-30	2013-06-01	30	county	5	436	False	District of Columbia, DC		Columbia	DC	Single Family Residential	6	870000.0	0.0734114744	0.2517985612	469900.0	-0.1047818632	0.1056470588	387.455773806	0.01230919899	0.2230531655	433.70119539	-0.007335575631	0.02959390746	117.0	0.02631578947	-0.1203007519	146.0	-0.01351351351	-0.07006369427	157.0	-0.1079545455	0.2362204724	304.0	0.074204947	-0.06461538462	2.6	0.1	0.2	15.0	-2.0	-17.0	0.9992826621	-0.001441400399	0.02318720723	0.3675213675	-0.06230319388	0.1269198638	0.1875	0.003754416961	-0.01865384615	0.2123287671	0.009626064421	0.05946252509	Washington, DC	47894.0	2025-10-13 14:40:31.665 Z	district of columbia dc	nan	columbia		county
2022-06-30	2022-06-01	30	county	5	436	False	District of Columbia, DC		Columbia	DC	Condo/Co-op	3	493500.0	0.03027139875	-0.04165452957	678500.0	0.005185185185	0.02959028832	611.27744511	0.00752747733	0.01261548129	545.409090909	0.006279772727	-0.009154454524	417.0	-0.08351648352	-0.2404371585	402.0	-0.1026785714	-0.2443609023	537.0	-0.001858736059	-0.1801526718	1182.0	0.005957446809	-0.1231454006	2.8	0.2	0.3	37.0	2.0	0.0	1.001201268	0.001062074719	-0.003068764878	0.3141486811	-0.002334835428	-0.01918465228	0.2673434856	0.02649242179	0.01882716514	0.4179104478	-0.003964552239	0.0006172146785	Washington, DC	47894.0	2025-10-13 14:40:31.665 Z	district of columbia dc	nan	columbia		county
2021-06-30	2021-06-01	30	county	5	436	False	District of Columbia, DC		Columbia	DC	Condo/Co-op	3	514950.0	0.09563829787	0.1074193548	659000.0	0.01400215418	0.01384615385	603.661958962	-0.008871295286	0.01524965825	550.448143406	0.03973538199	0.06275982457	549.0	0.08712871287	0.6996904025	532.0	-0.02025782689	0.1565217391	655.0	0.1215753425	0.254789272	1348.0	-0.0007412898443	0.3882595263	2.5	-0.2	-0.5	37.0	3.0	4.0	1.004270033	0.002432220906	0.00987928685	0.3333333333	-0.01122112211	0.06398348813	0.2485163205	0.006855831223	0.05696122264	0.4172932331	-0.008121131558	-0.05444589735	Washington, DC	47894.0	2025-10-13 14:40:31.665 Z	district of columbia dc	nan	columbia		county
2015-01-31	2015-01-01	30	county	5	436	False	District of Columbia, DC		Columbia	DC	All Residential	-1	485000.0	-0.0367428004	0.09166619774	486250.0	0.08296213808	0.05833061269	406.557377049	-0.04077506476	0.0216535909	451.309657721	0.2084247666	0.0644556609	503.0	-0.2994428969	-0.0137254902	646.0	-0.1015299026	-0.05278592375	642.0	0.475862069	-0.003105590062	1225.0	-0.02854877082	-0.05986185725	2.4	0.6	-0.2	38.0	7.0	-1.0	0.9834759839	-0.008678263555	-0.005766929375	0.2445328032	-0.03123321353	0.005317116906	0.2024489796	0.01053779799	-0.01013735963	0.1888544892	0.0803704836	0.004103756026	Washington, DC	47894.0	2025-10-13 14:40:31.665 Z	district of columbia dc	nan	columbia		county
2019-06-30	2019-06-01	30	county	5	436	False	District of Columbia, DC		Columbia	DC	Multi-Family (2-4 Unit)	4	834500.0	0.3246031746	0.00421179302	619000.0	0.03706806283	0.0359832636	257.078347149	-0.1204415006	-0.2601923349	479.797979798	-0.02471114565	-0.03765448178	18.0	0.05882352941	-0.1	21.0	0.3125	-0.4	23.0	-0.2333333333	-0.3235294118	64.0	-0.0447761194	0.06666666667	3.6	-0.3	0.6	10.0	-75.0	-7.0	0.9711083193	-0.02349778028	-0.04718580133	0.1666666667	-0.1862745098	-0.1333333333	0.0625	-0.1315298507	-0.1875	0.1904761905	-0.3720238095	-0.2380952381	Washington, DC	47894.0	2025-10-13 14:40:31.665 Z	district of columbia dc	nan	columbia		county
2015-03-31	2015-03-01	30	county	5	436	False	District of Columbia, DC		Columbia	DC	Multi-Family (2-4 Unit)	4	420825.0	-0.298625	0.540073193	534990.0	0.02498323594	0.0721242485	154.249792556	-0.4027105255	0.03684962357	466.863636364	0.04577454545	0.03637124881	6.0	-0.4545454545	-0.25	17.0	-0.2916666667	0.5454545455	18.0	0.0	0.125	44.0	-0.137254902	-0.137254902	7.3	2.7	0.9	18.0	-11.0	-18.0	0.9661960049	0.03164669945	-0.05634438688	0.1666666667	0.07575757576	-0.2083333333	0.1363636364	-0.0008912655971	-0.05971479501	0.1764705882	0.05147058824	-0.005347593583	Washington, DC	47894.0	2025-10-13 14:40:31.665 Z	district of columbia dc	nan	columbia		county
2020-11-30	2020-11-01	30	county	5	436	False	District of Columbia, DC		Columbia	DC	Single Family Residential	6	985000.0	-0.09053136974	0.2709677419	612500.0	-0.0562403698	-0.03543307087	378.431372549	-0.13397916	0.05302642796	528.454215439	0.005835852435	0.1255255348	127.0	-0.1056338028	0.04958677686	107.0	-0.395480226	-0.2132352941	100.0	-0.4082840237	-0.1379310345	205.0	-0.08071748879	-0.4142857143	1.6	0.0	-1.3	22.0	7.0	-13.0	1.015768722	-0.0009490608249	0.01412454463	0.4488188976	-0.05118110236	0.1017114596	0.1853658537	-0.06127091764	-0.05177700348	0.5514018692	-0.06441733988	0.2205195162	Washington, DC	47894.0	2025-10-13 14:40:31.665 Z	district of columbia dc	nan	columbia		county
