PERIOD_END	PERIOD_BEGIN	PERIOD_DURATION	REGION_TYPE	REGION_TYPE_ID	TABLE_ID	IS_SEASONALLY_ADJUSTED	REGION	CITY	STATE	STATE_CODE	PROPERTY_TYPE	PROPERTY_TYPE_ID	MEDIAN_SALE_PRICE	MEDIAN_SALE_PRICE_MOM	MEDIAN_SALE_PRICE_YOY	MEDIAN_LIST_PRICE	MEDIAN_LIST_PRICE_MOM	MEDIAN_LIST_PRICE_YOY	MEDIAN_PPSF	MEDIAN_PPSF_MOM	MEDIAN_PPSF_YOY	MEDIAN_LIST_PPSF	MEDIAN_LIST_PPSF_MOM	MEDIAN_LIST_PPSF_YOY	HOMES_SOLD	HOMES_SOLD_MOM	HOMES_SOLD_YOY	PENDING_SALES	PENDING_SALES_MOM	PENDING_SALES_YOY	NEW_LISTINGS	NEW_LISTINGS_MOM	NEW_LISTINGS_YOY	INVENTORY	INVENTORY_MOM	INVENTORY_YOY	MONTHS_OF_SUPPLY	MONTHS_OF_SUPPLY_MOM	MONTHS_OF_SUPPLY_YOY	MEDIAN_DOM	MEDIAN_DOM_MOM	MEDIAN_DOM_YOY	AVG_SALE_TO_LIST	AVG_SALE_TO_LIST_MOM	AVG_SALE_TO_LIST_YOY	SOLD_ABOVE_LIST	SOLD_ABOVE_LIST_MOM	SOLD_ABOVE_LIST_YOY	PRICE_DROPS	PRICE_DROPS_MOM	PRICE_DROPS_YOY	OFF_MARKET_IN_TWO_WEEKS	OFF_MARKET_IN_TWO_WEEKS_MOM	OFF_MARKET_IN_TWO_WEEKS_YOY	PARENT_METRO_REGION	PARENT_METRO_REGION_METRO_CODE	LAST_UPDATED	_n_region	_n_city	_n_state	_n_county	_state_code
2014-07-31	2014-07-01	30	county	5	3009	False	Prince William County, VA		Virginia	VA	All Residential	-1	317500.0	-0.02307692308	0.007936507937	325000.0	0.0	0.06592325353	152.750611247	-0.0005762935061	0.03264924825	161.064130874	0.04088732047	0.04482541059	758.0	-0.05131414268	-0.007853403141	903.0	-0.07194244604	-0.07479508197	1016.0	0.004945598417	0.09837837838	2325.0	0.1324890404	0.5087605451	3.1	0.5	1.1	26.0	4.0	7.0	0.9890087971	-0.0003703559307	-0.008049887324	0.22823219	-0.008313492129	-0.09899294092	0.3346236559	-0.01169879903	0.08673267603	0.1251384275	-0.04032919844	-0.1012959988	Washington, DC	47894.0	2025-10-13 14:40:31.665 Z	prince william county va	nan	virginia		VA
2020-04-30	2020-04-01	30	county	5	3009	False	Prince William County, VA		Virginia	VA	Townhouse	13	335000.0	0.01515151515	0.046875	399900.0	-0.0002475006188	0.01497461929	179.166666667	0.002976420322	0.06075433231	171.998535871	-0.009061933253	0.02934508391	265.0	-0.07342657343	-0.1137123746	303.0	-0.1962864721	-0.2836879433	294.0	-0.2303664921	-0.3422818792	383.0	0.04931506849	-0.1009389671	1.4	0.1	0.0	21.0	6.0	-1.0	1.004315128	0.00155508063	0.003865638001	0.4339622642	-0.06603773585	0.0292799899	0.1906005222	0.1001895633	-0.02066708344	0.6105610561	-0.1427545938	-0.08920253728	Washington, DC	47894.0	2025-10-13 14:40:31.665 Z	prince william county va	nan	virginia		VA
2020-07-31	2020-07-01	30	county	5	3009	False	Prince William County, VA		Virginia	VA	Townhouse	13	340000.0	-0.02855616303	0.0625	415500.0	0.02592592593	0.108	176.923076923	-0.02059061265	0.04109785077	179.487179487	0.02257909546	0.0520630554	399.0	0.1531791908	0.09615384615	470.0	-0.01467505241	0.3314447592	427.0	0.1478494624	0.2270114943	384.0	0.01587301587	-0.2033195021	1.0	-0.1	-0.3	21.0	-9.0	-2.0	1.005112331	0.002251877036	0.006623192614	0.4561403509	0.02261433932	0.118228263	0.1171875	0.0007853835979	-0.1525220436	0.6914893617	0.06465498015	0.1504128745	Washington, DC	47894.0	2025-10-13 14:40:31.665 Z	prince william county va	nan	virginia		VA
2023-02-28	2023-02-01	30	county	5	3009	False	Prince William County, VA		Virginia	VA	Single Family Residential	6	594900.0	-0.01993410214	-0.006015037594	515000.0	0.03084529314	0.08421052632	220.824949698	0.05701542589	-0.008136040915	218.540093055	-0.05437391014	0.01168764019	211.0	0.3105590062	-0.1526104418	253.0	-0.007843137255	-0.1891025641	225.0	0.2784090909	-0.3401759531	304.0	-0.0843373494	-0.1162790698	1.4	-0.7	0.0	48.0	-17.0	31.0	0.9981264736	0.005171291588	-0.02838744376	0.3838862559	0.135439051	-0.2988446678	0.1644736842	-0.09155041218	0.09761321909	0.6245059289	0.2088196543	-0.1831863788	Washington, DC	47894.0	2025-10-13 14:40:31.665 Z	prince william county va	nan	virginia		VA
2021-05-31	2021-05-01	30	county	5	3009	False	Prince William County, VA		Virginia	VA	Single Family Residential	6	605000.0	0.04310344828	0.2234580384	450000.0	-0.02173806711	0.09489051095	195.729537367	0.01188690356	0.1961249506	202.330913259	0.03275568706	0.1477769689	586.0	0.1838383838	0.465	655.0	0.04967948718	0.07026143791	664.0	-0.07391910739	0.5514018692	535.0	0.1008230453	-0.1705426357	0.9	-0.1	-0.7	6.0	-1.0	-25.0	1.04290108	0.001789566322	0.04220223491	0.7559726962	0.02667976695	0.3784726962	0.1065420561	0.003661397639	-0.08105484315	0.8396946565	-0.01286944608	0.3445966173	Washington, DC	47894.0	2025-10-13 14:40:31.665 Z	prince william county va	nan	virginia		VA
2024-02-29	2024-02-01	30	county	5	3009	False	Prince William County, VA		Virginia	VA	Townhouse	13	485000.0	0.07777777778	0.07777777778	540000.0	0.009345794393	0.04854368932	246.865203762	0.002015299904	0.08029901133	243.497182262	-0.01986670442	0.1141991332	141.0	0.03676470588	-0.11875	162.0	-0.06358381503	-0.1147540984	172.0	0.1096774194	0.2463768116	164.0	0.05806451613	0.1468531469	1.2	0.1	0.3	26.0	-13.0	-7.0	1.007991851	0.006450244163	0.009148503758	0.5035460993	0.1506049228	0.1285460993	0.1219512195	0.02517702596	-0.01091591335	0.6851851852	0.08980946264	0.1059502125	Washington, DC	47894.0	2025-10-13 14:40:31.665 Z	prince william county va	nan	virginia		VA
2015-06-30	2015-06-01	30	county	5	3009	False	Prince William County, VA		Virginia	VA	Townhouse	13	270000.0	0.00185528757	0.001948232675	325000.0	-0.07140204006	0.0	147.963447329	-0.04645778388	-0.02544987481	157.082285213	0.01641478667	0.0151543864	320.0	0.04234527687	0.1111111111	388.0	-0.04197530864	0.02917771883	406.0	-0.1096491228	0.0656167979	774.0	0.01044386423	0.1907692308	2.4	-0.1	0.1	22.0	-2.0	1.0	0.9933119229	0.002105543087	0.005498040098	0.246875	-0.01696864821	0.01770833333	0.2868217054	0.01005930334	-0.05933214073	0.1649484536	-0.06961944763	-0.02338045886	Washington, DC	47894.0	2025-10-13 14:40:31.665 Z	prince william county va	nan	virginia		VA
2024-04-30	2024-04-01	30	county	5	3009	False	Prince William County, VA		Virginia	VA	Condo/Co-op	3	292500.0	-0.1102661597	-0.03305785124	575000.0	0.0	0.08137588626	278.702516765	0.0004089995748	0.06101613077	244.155075466	0.002822526978	0.05474992601	40.0	0.4285714286	0.6666666667	50.0	0.0	0.3513513514	41.0	-0.1086956522	0.07894736842	48.0	-0.1272727273	0.02127659574	1.2	-0.8	-0.8	23.0	-4.0	-6.0	1.013058145	0.005068040471	0.0001143090819	0.475	-0.1321428571	0.01666666667	0.1666666667	0.00303030303	0.0390070922	0.58	-0.04	-0.1227027027	Washington, DC	47894.0	2025-10-13 14:40:31.665 Z	prince william county va	nan	virginia		VA
2016-02-29	2016-02-01	30	county	5	3009	False	Prince William County, VA		Virginia	VA	Condo/Co-op	3	189950.0	0.3376760563	0.1512121212	338000.0	0.02455289482	-0.06085023618	151.874469862	0.1189596597	0.0164172025	158.784379671	0.009082616268	0.03009193461	30.0	0.6666666667	0.1111111111	46.0	0.84	0.2105263158	51.0	0.04081632653	0.4571428571	101.0	-0.04716981132	-0.1140350877	3.4	-2.5	-0.8	45.0	-47.0	-22.0	0.9690955213	0.0002986952162	-0.01213486116	0.0	-0.1111111111	0.0	0.08910891089	-0.00523071175	-0.06001389613	0.1956521739	0.03565217391	0.03775743707	Washington, DC	47894.0	2025-10-13 14:40:31.665 Z	prince william county va	nan	virginia		VA
2015-02-28	2015-02-01	30	county	5	3009	False	Prince William County, VA		Virginia	VA	Single Family Residential	6	400000.0	0.08695652174	0.1173184358	359900.0	0.09725609756	0.07493802455	157.091561939	0.05620973704	-0.01156335633	154.145833333	-0.01249248859	-0.0001782327586	233.0	0.01304347826	0.09389671362	368.0	0.1017964072	0.1719745223	479.0	0.2911051213	0.2313624679	1048.0	0.0264446621	0.2329411765	4.5	0.1	0.5	73.0	-12.0	24.0	0.9805701955	0.0004411866369	-0.001372655095	0.1845493562	0.006288486658	-0.01263374237	0.159351145	-0.04926785594	-0.004178266727	0.2608695652	0.1081749544	0.0920797563	Washington, DC	47894.0	2025-10-13 14:40:31.665 Z	prince william county va	nan	virginia		VA
