metric,stage,measure,seven_county_mean,seven_county_median,minimum,maximum,county_count
employment,MA3,standard_deviation_attenuation_relative_to_raw,0.012486434873300676,0.01116394134472417,0.004671021936762599,0.023837229001580435,7
employment,MA3,range_attenuation_relative_to_raw,0.06975611085921095,0.06009638188475914,0.020406221408966148,0.14100096376450838,7
employment,MA3,mean_absolute_monthly_change_attenuation_relative_to_raw,0.4391533802680344,0.3999915839648791,0.37699575165857013,0.5392083545237368,7
employment,MA3,reversal_count_attenuation_relative_to_raw,0.4224117963454478,0.4,0.3008130081300813,0.5374149659863946,7
employment,MA3,zero_crossings_attenuation_relative_to_raw,,,,,0
employment,MA6,standard_deviation_attenuation_relative_to_raw,0.026390291400095137,0.024877249963452443,0.006014980261285621,0.04811437520757621,7
employment,MA6,range_attenuation_relative_to_raw,0.12296066894122866,0.08776281351290492,0.043060689234522866,0.25515470470088647,7
employment,MA6,mean_absolute_monthly_change_attenuation_relative_to_raw,0.5822926529556817,0.6019951772676206,0.47326316612642866,0.6514706255112457,7
employment,MA6,reversal_count_attenuation_relative_to_raw,0.5822213719580568,0.5673076923076923,0.5,0.7755102040816326,7
employment,MA6,zero_crossings_attenuation_relative_to_raw,,,,,0
employment,MA9,standard_deviation_attenuation_relative_to_raw,0.04077176595586574,0.04147603474209527,0.01102258284776977,0.07265482551749596,7
employment,MA9,range_attenuation_relative_to_raw,0.16471462451182997,0.10219957360511674,0.07531564501372412,0.35754122755382706,7
employment,MA9,mean_absolute_monthly_change_attenuation_relative_to_raw,0.6582961020269579,0.7042515556717305,0.5140581756418517,0.7313379515293689,7
employment,MA9,reversal_count_attenuation_relative_to_raw,0.6737813608423803,0.6666666666666666,0.5576923076923077,0.891156462585034,7
employment,MA9,zero_crossings_attenuation_relative_to_raw,,,,,0
labor_force,MA3,standard_deviation_attenuation_relative_to_raw,0.02048945647984703,0.014668335230087405,0.007010191584225143,0.05519588158348681,7
labor_force,MA3,range_attenuation_relative_to_raw,0.08099536495599927,0.06359468228436325,0.028197336446965808,0.25424494727311026,7
labor_force,MA3,mean_absolute_monthly_change_attenuation_relative_to_raw,0.47610267563853054,0.4796774222036927,0.3824768128765511,0.5635876829009803,7
labor_force,MA3,reversal_count_attenuation_relative_to_raw,0.3770814035627728,0.39622641509433965,0.2773109243697479,0.4603174603174603,7
labor_force,MA3,zero_crossings_attenuation_relative_to_raw,,,,,0
labor_force,MA6,standard_deviation_attenuation_relative_to_raw,0.04073536423782448,0.03318968295297891,0.009166557646135543,0.10692418191839098,7
labor_force,MA6,range_attenuation_relative_to_raw,0.12019668375920169,0.09577868514394126,0.04923182092620605,0.3091180315443088,7
labor_force,MA6,mean_absolute_monthly_change_attenuation_relative_to_raw,0.649573524642516,0.6710813724105769,0.5245295007578616,0.6894119962157463,7
labor_force,MA6,reversal_count_attenuation_relative_to_raw,0.49873682007739895,0.5158730158730159,0.2926829268292683,0.672,7
labor_force,MA6,zero_crossings_attenuation_relative_to_raw,,,,,0
labor_force,MA9,standard_deviation_attenuation_relative_to_raw,0.059368929093519485,0.055572131765571665,0.015297720483582978,0.14002582477571893,7
labor_force,MA9,range_attenuation_relative_to_raw,0.15179824933143934,0.1210953516725775,0.08103371549426247,0.3825501052460135,7
labor_force,MA9,mean_absolute_monthly_change_attenuation_relative_to_raw,0.7316274706701622,0.7548880878652194,0.562689231926695,0.7797007710414495,7
labor_force,MA9,reversal_count_attenuation_relative_to_raw,0.6069539222488701,0.5849056603773585,0.46218487394957986,0.792,7
labor_force,MA9,zero_crossings_attenuation_relative_to_raw,,,,,0
laus_unemployment_rate,MA3,standard_deviation_attenuation_relative_to_raw,0.019481235011527664,0.01684869835593259,0.008292510526608104,0.041364644471279556,7
laus_unemployment_rate,MA3,range_attenuation_relative_to_raw,0.05947555028360323,0.05042016806722686,0.03921568627450992,0.0823529411764705,7
laus_unemployment_rate,MA3,mean_absolute_monthly_change_attenuation_relative_to_raw,0.3656000879591316,0.3883542785916583,0.302362650585354,0.43941322664726934,7
laus_unemployment_rate,MA3,reversal_count_attenuation_relative_to_raw,0.26309163675864605,0.25263157894736843,0.18072289156626506,0.3854166666666667,7
laus_unemployment_rate,MA3,zero_crossings_attenuation_relative_to_raw,,,,,0
laus_unemployment_rate,MA6,standard_deviation_attenuation_relative_to_raw,0.04286066669222594,0.040793337650761874,0.017627025585367398,0.09204542022327254,7
laus_unemployment_rate,MA6,range_attenuation_relative_to_raw,0.17923159651996068,0.1859903381642511,0.11274509803921592,0.2372549019607842,7
laus_unemployment_rate,MA6,mean_absolute_monthly_change_attenuation_relative_to_raw,0.5786579882747495,0.5832709068355003,0.5102880658436214,0.6714593118991992,7
laus_unemployment_rate,MA6,reversal_count_attenuation_relative_to_raw,0.45029714440172575,0.4421052631578947,0.3368421052631579,0.625,7
laus_unemployment_rate,MA6,zero_crossings_attenuation_relative_to_raw,,,,,0
laus_unemployment_rate,MA9,standard_deviation_attenuation_relative_to_raw,0.06616847882759001,0.06484204041348161,0.032070713932358504,0.139818240059281,7
laus_unemployment_rate,MA9,range_attenuation_relative_to_raw,0.2826038580320259,0.3108108108108109,0.1486928104575162,0.38431372549019605,7
laus_unemployment_rate,MA9,mean_absolute_monthly_change_attenuation_relative_to_raw,0.6287027447866087,0.6282180002059519,0.5565108759553203,0.7015770388615216,7
laus_unemployment_rate,MA9,reversal_count_attenuation_relative_to_raw,0.5336512460940982,0.5263157894736842,0.43373493975903615,0.7052631578947368,7
laus_unemployment_rate,MA9,zero_crossings_attenuation_relative_to_raw,,,,,0
