geo_id,date,metric,stage,value
district_of_columbia_dc__county,2006-05-31,employment,Raw,301117.0
district_of_columbia_dc__county,2006-06-30,employment,Raw,308487.0
district_of_columbia_dc__county,2006-07-31,employment,Raw,308647.0
district_of_columbia_dc__county,2006-08-31,employment,Raw,304263.0
district_of_columbia_dc__county,2006-09-30,employment,Raw,300759.0
district_of_columbia_dc__county,2006-10-31,employment,Raw,308327.0
district_of_columbia_dc__county,2006-11-30,employment,Raw,307520.0
district_of_columbia_dc__county,2006-12-31,employment,Raw,307885.0
district_of_columbia_dc__county,2007-01-31,employment,Raw,306159.0
district_of_columbia_dc__county,2007-02-28,employment,Raw,309462.0
district_of_columbia_dc__county,2007-03-31,employment,Raw,310623.0
district_of_columbia_dc__county,2007-04-30,employment,Raw,311117.0
district_of_columbia_dc__county,2007-05-31,employment,Raw,310204.0
district_of_columbia_dc__county,2007-06-30,employment,Raw,310549.0
district_of_columbia_dc__county,2007-07-31,employment,Raw,315097.0
district_of_columbia_dc__county,2007-08-31,employment,Raw,311377.0
district_of_columbia_dc__county,2007-09-30,employment,Raw,310732.0
district_of_columbia_dc__county,2007-10-31,employment,Raw,313810.0
district_of_columbia_dc__county,2007-11-30,employment,Raw,316423.0
district_of_columbia_dc__county,2007-12-31,employment,Raw,315135.0
district_of_columbia_dc__county,2008-01-31,employment,Raw,312383.0
district_of_columbia_dc__county,2008-02-29,employment,Raw,316315.0
district_of_columbia_dc__county,2008-03-31,employment,Raw,317047.0
district_of_columbia_dc__county,2008-04-30,employment,Raw,318662.0
district_of_columbia_dc__county,2008-05-31,employment,Raw,316130.0
district_of_columbia_dc__county,2008-06-30,employment,Raw,318549.0
district_of_columbia_dc__county,2008-07-31,employment,Raw,323746.0
district_of_columbia_dc__county,2008-08-31,employment,Raw,320341.0
district_of_columbia_dc__county,2008-09-30,employment,Raw,316726.0
district_of_columbia_dc__county,2008-10-31,employment,Raw,314851.0
district_of_columbia_dc__county,2008-11-30,employment,Raw,313783.0
district_of_columbia_dc__county,2008-12-31,employment,Raw,311866.0
district_of_columbia_dc__county,2009-01-31,employment,Raw,310743.0
district_of_columbia_dc__county,2009-02-28,employment,Raw,311228.0
district_of_columbia_dc__county,2009-03-31,employment,Raw,309335.0
district_of_columbia_dc__county,2009-04-30,employment,Raw,307782.0
district_of_columbia_dc__county,2009-05-31,employment,Raw,307380.0
district_of_columbia_dc__county,2009-06-30,employment,Raw,310363.0
district_of_columbia_dc__county,2009-07-31,employment,Raw,317650.0
district_of_columbia_dc__county,2009-08-31,employment,Raw,308248.0
district_of_columbia_dc__county,2009-09-30,employment,Raw,305769.0
district_of_columbia_dc__county,2009-10-31,employment,Raw,307250.0
district_of_columbia_dc__county,2009-11-30,employment,Raw,309295.0
district_of_columbia_dc__county,2009-12-31,employment,Raw,308489.0
district_of_columbia_dc__county,2010-01-31,employment,Raw,309741.0
district_of_columbia_dc__county,2010-02-28,employment,Raw,309601.0
district_of_columbia_dc__county,2010-03-31,employment,Raw,311994.0
district_of_columbia_dc__county,2010-04-30,employment,Raw,315608.0
district_of_columbia_dc__county,2010-05-31,employment,Raw,316299.0
district_of_columbia_dc__county,2010-06-30,employment,Raw,317166.0
district_of_columbia_dc__county,2010-07-31,employment,Raw,318844.0
district_of_columbia_dc__county,2010-08-31,employment,Raw,310603.0
district_of_columbia_dc__county,2010-09-30,employment,Raw,311833.0
district_of_columbia_dc__county,2010-10-31,employment,Raw,312019.0
district_of_columbia_dc__county,2010-11-30,employment,Raw,311348.0
district_of_columbia_dc__county,2010-12-31,employment,Raw,311725.0
district_of_columbia_dc__county,2011-01-31,employment,Raw,312201.0
district_of_columbia_dc__county,2011-02-28,employment,Raw,315235.0
district_of_columbia_dc__county,2011-03-31,employment,Raw,313130.0
district_of_columbia_dc__county,2011-04-30,employment,Raw,314385.0
district_of_columbia_dc__county,2011-05-31,employment,Raw,312497.0
district_of_columbia_dc__county,2011-06-30,employment,Raw,311295.0
district_of_columbia_dc__county,2011-07-31,employment,Raw,316968.0
district_of_columbia_dc__county,2011-08-31,employment,Raw,311733.0
district_of_columbia_dc__county,2011-09-30,employment,Raw,313519.0
district_of_columbia_dc__county,2011-10-31,employment,Raw,313783.0
district_of_columbia_dc__county,2011-11-30,employment,Raw,314705.0
district_of_columbia_dc__county,2011-12-31,employment,Raw,316289.0
district_of_columbia_dc__county,2012-01-31,employment,Raw,317125.0
district_of_columbia_dc__county,2012-02-29,employment,Raw,320368.0
district_of_columbia_dc__county,2012-03-31,employment,Raw,321881.0
district_of_columbia_dc__county,2012-04-30,employment,Raw,325095.0
district_of_columbia_dc__county,2012-05-31,employment,Raw,328119.0
district_of_columbia_dc__county,2012-06-30,employment,Raw,331583.0
district_of_columbia_dc__county,2012-07-31,employment,Raw,334075.0
district_of_columbia_dc__county,2012-08-31,employment,Raw,330502.0
district_of_columbia_dc__county,2012-09-30,employment,Raw,334370.0
district_of_columbia_dc__county,2012-10-31,employment,Raw,337320.0
district_of_columbia_dc__county,2012-11-30,employment,Raw,339409.0
district_of_columbia_dc__county,2012-12-31,employment,Raw,338186.0
district_of_columbia_dc__county,2013-01-31,employment,Raw,336625.0
district_of_columbia_dc__county,2013-02-28,employment,Raw,339957.0
district_of_columbia_dc__county,2013-03-31,employment,Raw,339606.0
district_of_columbia_dc__county,2013-04-30,employment,Raw,340041.0
